name_from;name_to;distance;price1;price2;price3;price4;price5
ALLAINES;AMBERIEU;462.61;58.20;89.10;143.00;190.70;32.80
ALLAINES;ARLAY;403.12;52.30;80.90;131.70;173.90;29.10
ALLAINES;AUXERRE NORD;160.62;30.10;45.50;75.30;96.70;15.60
ALLAINES;AUXERRE SUD;172.32;30.10;45.50;75.30;96.70;15.60
ALLAINES;AVALLON;216.42;34.30;52.20;86.30;112.40;18.50
ALLAINES;BALAN;486.64;59.10;91.20;145.80;194.00;33.40
ALLAINES;BAUME LES DAMES;443.12;55.40;85.60;138.10;184.10;31.30
ALLAINES;BEAUNE NORD;308.07;42.80;66.00;107.10;140.10;23.60
ALLAINES;BEAUNE SUD;313.82;44.10;67.50;109.70;144.20;24.20
ALLAINES;BEAUPONT;446.82;55.60;86.10;139.60;185.50;31.60
ALLAINES;BEAUREPAIRE;418.52;53.50;82.60;133.80;178.40;29.80
ALLAINES;BELLEVILLE SUR SAONE;419.52;53.60;82.50;132.40;176.00;29.80
ALLAINES;PEAGE DE BERSAILLIN;398.53;52.10;79.40;130.20;172.20;29.00
ALLAINES;BESANCON EST;424.04;52.60;82.00;132.60;176.70;29.60
ALLAINES;BESANCON NORD;409.42;52.60;80.90;131.00;173.70;29.20
ALLAINES;BESANCON OUEST;400.02;52.60;80.30;130.50;172.60;29.10
ALLAINES;PEAGE DE BEYNOST;500.80;61.60;95.30;152.00;203.00;35.40
ALLAINES;BIERRE LES SEMUR;242.32;36.40;55.10;90.90;118.70;19.70
ALLAINES;BOURG NORD;420.41;53.80;83.00;132.60;176.70;30.20
ALLAINES;BOURG SUD;440.84;55.10;85.30;136.70;181.90;31.60
ALLAINES;BULGNEVILLE;373.87;47.10;72.30;116.40;155.00;25.80
ALLAINES;CHALON CENTRE;335.92;46.50;71.70;114.70;151.60;25.50
ALLAINES;CHALON NORD;333.04;46.50;71.70;114.70;151.60;25.50
ALLAINES;CHALON SUD;342.12;46.50;71.70;114.70;151.60;25.50
ALLAINES;CHATENOIS SUD;384.02;47.70;73.00;118.20;157.00;26.40
ALLAINES;CHATILLON LABORDE;197.24;33.40;50.80;83.20;108.10;18.00
ALLAINES;CHAUMONT SEMOUTIERS;291.49;40.10;61.10;100.10;131.60;21.70
ALLAINES;CHOISEY;365.23;48.90;74.60;121.60;160.90;26.90
ALLAINES;PEAGE DE CLERMONT;334.58;37.20;58.10;92.20;124.80;22.30
ALLAINES;COLOMBEY LES BELLES;412.72;50.50;76.90;124.60;166.70;27.70
ALLAINES;COMBRONDE;297.36;32.50;50.80;79.20;106.80;19.40
ALLAINES;COURTENAY;118.31;25.60;38.60;64.40;81.70;13.10
ALLAINES;PEAGE DE DIJON SUD;343.72;46.70;72.10;116.00;153.20;25.60
ALLAINES;DIJON ARC SUR TILLE;358.88;48.40;74.50;119.90;158.60;26.70
ALLAINES;PEAGE DE DIJON CRIMOLOIS;391.22;47.70;72.70;118.70;156.00;26.40
ALLAINES;DOLE;367.42;48.90;74.60;121.60;160.90;26.90
ALLAINES;FEILLENS;395.50;51.20;79.00;127.70;169.80;28.90
ALLAINES;PEAGE DE FLEURY EN BIERE;202.26;32.00;48.70;79.60;102.60;16.90
ALLAINES;FONTAINEBLEAU;159.31;29.30;44.30;73.40;93.20;15.30
ALLAINES;FORET DE TRONCAIS;215.75;24.80;39.60;60.20;79.60;15.10
ALLAINES;FORGES;179.97;31.00;46.50;76.60;99.20;15.90
ALLAINES;PEAGE DE GANNAT;295.37;32.20;50.70;78.40;106.10;19.30
ALLAINES;GENDREY;384.00;50.00;76.90;125.10;166.30;28.00
ALLAINES;PEAGE DE GROISSIAT;491.87;62.00;95.90;154.10;205.80;35.60
ALLAINES;PEAGE DE GYE;426.33;52.80;80.20;128.90;172.10;29.00
ALLAINES;JOIGNY;134.82;27.30;41.00;67.90;86.80;14.10
ALLAINES;L ISLE SUR LE DOUBS;460.42;57.00;87.90;141.60;188.70;32.10
ALLAINES;LA BOISE MONTUEL;490.92;60.70;93.30;147.10;195.90;34.60
ALLAINES;PEAGE DE LA COTIERE;496.88;61.50;94.50;151.40;200.30;35.30
ALLAINES;LA CROIX CHALON;477.27;60.20;93.10;149.70;200.00;34.30
ALLAINES;LANGRES NORD;317.82;42.20;63.90;102.90;136.60;22.90
ALLAINES;LANGRES SUD;324.47;43.00;65.30;105.70;139.50;23.60
ALLAINES;LE MIROIR;433.66;54.60;84.10;136.30;180.70;30.70
ALLAINES;PEAGE DES EPRUNES;220.84;34.50;53.10;87.10;114.00;18.90
ALLAINES;MACON NORD;387.92;51.10;78.60;125.70;166.90;28.50
ALLAINES;MACON SUD;398.25;52.00;80.10;128.20;170.10;29.00
ALLAINES;MAGNANT;240.65;36.60;55.60;90.80;119.40;19.70
ALLAINES;MAROLLES SUR SEINE;172.45;31.00;46.50;76.60;99.20;15.90
ALLAINES;MONTIGNY LE ROI;337.92;43.90;66.40;108.20;143.50;24.00
ALLAINES;PEAGE DE MONTLUCON;240.68;27.20;43.20;66.10;88.80;16.40
ALLAINES;MONTMARAULT;253.28;28.50;45.30;70.30;94.90;17.20
ALLAINES;NEMOURS;156.36;29.30;44.30;73.40;93.20;15.30
