name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
ALLAINES;Allaines;12;48.2053090;1.8459556;2;[247189294, 303811524];;close;APRR
ALLAINVILLE;Allainville;11;48.4565660;1.9083125;3;[292944726, 292944753, 5702872167];;close;APRR
AMBERIEU;Ambérieu-en-Buguey;8;45.9776792;5.3125990;2;[142831, 36534628];;close;APRR
AMBOISE CHATEAU RENAULT;Amboise-Château-Renault;18;47.5428585;0.9848382;2;[306620171, 11004965800];;close;APRR
ARLAY;Arlay;7.1;46.7778289;5.5185989;1;[4415773260];;close;APRR
ARTENAY;Artenay;13;48.0841897;1.8557181;2;[26228454, 26228469];;close;APRR
AUXERRE NORD;Auxerre Nord;19;47.8516154;3.5486952;2;[126217, 255936638];;close;APRR
AUXERRE SUD;Auxerre Sud;20;47.7967621;3.6528479;1;[811337384,10016778714];;close;APRR
AUXY;Auxy;7;48.0853357;2.4727593;2;[1651430004, 1651430019];;close;APRR
AVALLON;Avallon;22;47.5093282;3.9920680;2;[28868612, 28868623];;close;APRR
BALAN;Balan;6;45.8510120;5.0994272;5;[25783301, 774739116, 2422255483, 2422255492, 2422255497];;close;APRR
BAUME LES DAMES;Baume-les-Dames;5;47.3710062;6.3797317;2;[341343259, 370025627];;close;APRR
PEAGE DE BEAUMONT;Péage de Beaumont;Péage de Beaumont;49.1990129;5.9242368;2;[30801937, 150873766];;close;APRR
BEAUNE NORD;Beaune Nord;24;47.0419741;4.8506230;2;[279341406, 711774392];;close;APRR
BEAUNE SUD;Beaune Sud;24.1;47.0024231;4.8547961;3;[245806764, 289537452, 5741047101];;close;APRR
BEAUPONT;Beaupont;10;46.4409805;5.2698552;2;[727755213, 2833842348];;close;APRR
BEAUREPAIRE;Beaurepaire;8;46.6664307;5.4189821;2;[1581498325, 2199932050];;close;APRR
BELLEGARDE;Bellegarde;10;46.1160243;5.7950080;2;[2150890046, 2150890048];;close;APRR
BELLEVILLE SUR SAONE;Belleville-Sur-Saône;30;46.1038175;4.7502931;2;[276599460, 392059515];;close;APRR
PEAGE DE BERSAILLIN;Péage de Bersaillin;Péage de Bersaillin;46.8492838;5.5745067;2;[207278408, 664688045];;close;APRR
BESANCON EST;Besançon Est;4.1;47.3323071;6.1512694;2;[814664691, 814664757];;close;APRR
BESANCON NORD;Besançon Nord;4;47.2761169;5.9879716;2;[317071039, 1373677796];;close;APRR
BESANCON OUEST;Besançon Ouest;3;47.2347307;5.8981115;2;[343206372, 343206373];;close;APRR
PEAGE DE BEYNOST;Beynost;Beynost;45.8206664;4.9939405;2;[143584, 21670932];;close;APRR
BIERRE LES SEMUR;Bierre-lès-Semur;23;47.4365874;4.3094972;2;[289537324, 289537367];;close;APRR
BLERE;Bléré;11;47.2864836;0.9844652;2;[228863617, 2105191531];;close;APRR
BLOIS;Blois;17;47.6215008;1.3464557;2;[95914543, 3722209738];;close;APRR
BOURG NORD;Bourg Nord;5;46.2599489;5.1669614;2;[21760589, 652123095];;close;APRR
BOURG SUD;Bourg Sud;7;46.1456922;5.2862738;2;[25946087, 317802090];;close;APRR
BOURGES;Bourges;7;47.0448918;2.3417968;2;[33148650, 2095595179];;close;APRR
BULGNEVILLE;Bulgneville;9;48.2157812;5.8325029;1;[289635259];;close;APRR
CHALON CENTRE;Chalon Centre;25.2;46.8025546;4.8299040;8;[1693318417, 1693318419, 2385615588, 2385615592, 2385615595, 2385615599, 2385615601, 9713436538];;close;APRR
CHALON NORD;Chalon Nord;APRR;46.8304241;4.8317434;2;[12171437315, 12171437316];;close;APRR
CHALON SUD;Chalon Sud;26;46.7547680;4.8331365;8;[289537479, 720744291, 2385481454, 2385481455, 2385481456, 2385481457, 2385483658, 2385483659];;close;APRR
CHALONS LA VEUVE;Châlons en Champagne-La Veuve;24;49.0428396;4.3217468;4;[30813498, 1871925918, 3149727734, 3149752422];;close;APRR
CHARMONT SOUS BARBUISE;Charmont-sous-Barbuise;22;48.4103294;4.1438377;2;[673351722, 3050827007];;close;APRR
CHATEAU THIERRY;Château-Thierry;20;49.0784022;3.3987808;2;[1382180500, 1382180508];;close;APRR
CHATENOIS SUD;Chatenois;10;48.2994713;5.8529366;1;[1054617575];;close;APRR
CHATILLON LABORDE;Chatillon-La Borde;16;48.5422046;2.7975037;2;[131854822, 261058618];;close;APRR
CHAUMONT SEMOUTIERS;Chaumont-Semoutiers;24;48.0428105;5.0592698;2;[412553203, 540556952];;close;APRR
CHEMERY;Selles-sur-Cher;13;47.3246739;1.5001828;2;[28099229, 28121110];;close;APRR
CHOISEY;Choisey;6;47.0646274;5.4468518;2;[410642970, 410650377];;close;APRR
CLERMONT EN ARGONNE;Clermont-en-Argonne;29.1;49.0944409;5.1017163;2;[307631007, 9241234240];;close;APRR
PEAGE DE CLERMONT;Clermont Barrière;Clermont Barrière;45.8413126;3.1610281;2;[2015469, 26188874];;close;APRR
COLOMBEY LES BELLES;Colombey-les-Belles;11;48.5406483;5.9089246;2;[6283553420, 6283553421];;close;APRR
COMBRONDE;Combronde;12.1;45.9960339;3.1046691;4;[2441958671, 2441958683, 6289699841, 6311518304];;close;APRR
COURTENAY;Courtenay;17;48.0597651;3.0952651;2;[260171882, 1820928798];;close;APRR
CROTTET;Crottet;Crottet;46.2867138;4.8701066;2;[471322064, 471322065];;open;APRR
