aprr_name;asf_name
AMBOISE CH RENAULT;AMBOISE CHATEAU RENAULT
BEAUMONT;PEAGE DE BEAUMONT
BELLEVILLE S SAONE;BELLEVILLE SUR SAONE
BERSAILLIN;PEAGE DE BERSAILLIN
BEYNOST;PEAGE DE BEYNOST
BOURGES LIM CONC;BOURGES
CHARMONT LIM CONC;CHARMONT SOUS BARBUISE
CHATENOIS;CHATENOIS SUD
CLERMONT BARRIERE;PEAGE DE CLERMONT
DEUX CHAISES;PEAGE DE DEUX CHAISES
DIJON ARC S TILLE;DIJON ARC SUR TILLE
DIJON CRIMOLOIS;PEAGE DE DIJON CRIMOLOIS
DIJON SUD;PEAGE DE DIJON SUD
FLEURY EN BIERE;PEAGE DE FLEURY EN BIERE
FONTENAY LOING;FONTENAY SUR LOING
GANNAT;PEAGE DE GANNAT
GONDREVILLE A77 N;GONDREVILLE NORD
GONDREVILLE A77 S;GONDREVILLE SUD
GROISSIAT;PEAGE DE GROISSIAT
GYE;PEAGE DE GYE
L ISLE S LE DOUBS;L ISLE SUR LE DOUBS
LA BOISSE MONTLUEL;LA BOISE MONTUEL
LA COTIERE;PEAGE DE LA COTIERE
LES EPRUNES;PEAGE DES EPRUNES
MONTLUCON;PEAGE DE MONTLUCON
MONTREUIL AUX LIONS;PEAGE DE MONTREUIL AUX LIONS
POUILLY EN AUXOIS;PEAGE DE POUILLY EN AUXOIS
REIMS EST TAISSY;PEAGE DE REIMS EST
REIMS NORD ORMES;PEAGE REIMS NORD
REIMS OUEST THILLOIS;REIMS OUEST
SAINT GENIS;ST GENIS
SAINT MAURICE;PEAGE DE ST MAURICE
SAINT THIBAULT;ST THIBAULT
SAVIGNY CLAIRIS;SAVIGNY SUR CLAIRIS
ST GERMAIN LES VERGNE;PEAGE DE ST GERMAIN LES VERGNES
ST HILAIRE;ST HILAIRE LES ANDRESIS
SYLANS;SYLANS SUD
TOURS C MONNAIE;PEAGE DE MONNAIE
VAL DE LOING BARRIERE;PEAGE DE VAL DE LOING BARRIERE
VAL DE SAONE;PEAGE DE VAL DE SAONE
VEIGNE;PEAGE DE VEIGNE
VILLE SOUS LAFERTE;VILLE SOUS LA FERTE
VILLEFRANCHE LIMAS;PEAGE DE VILLEFRANCHE LIMAS
VILLEFRANCHE S CHER;VILLEFRANCHE SUR CHER
VIRY;PEAGE DE VIRY
