name_from;name_to;distance;price1;price2;price3;price4;price5
AIGUEBELETTE;AIX NORD;24.00;3.50;5.40;7.50;10.10;1.60
AIGUEBELETTE;AIX SUD;17.00;2.90;4.40;6.20;8.30;1.20
AIGUEBELETTE;ALLONZIER;62.00;8.40;12.40;17.80;23.60;4.30
AIGUEBELETTE;ANNECY CENTRE;50.00;6.90;10.40;15.00;20.00;3.50
AIGUEBELETTE;ANNECY NORD;55.00;7.20;11.10;15.80;21.70;3.50
AIGUEBELETTE;BOURGOIN;41.00;5.30;7.80;11.20;14.60;2.50
AIGUEBELETTE;CHAMBERY NORD;10.00;1.60;2.60;3.80;5.10;0.80
AIGUEBELETTE;CHATUZANGE BARRIERE;143.00;17.20;26.70;38.00;50.20;9.00
AIGUEBELETTE;ISLE D ABEAU CENTRE;47.00;6.10;9.40;13.70;17.70;2.80
AIGUEBELETTE;LA BAUME D HOSTUN;127.00;14.40;22.30;32.50;43.30;7.10
AIGUEBELETTE;LA TOUR DU PIN;32.00;4.00;6.40;8.90;11.70;1.90
AIGUEBELETTE;LES ABRETS;17.00;2.10;3.60;4.90;6.30;1.00
AIGUEBELETTE;MOIRANS NORD;77.00;9.00;13.20;19.20;25.40;4.20
AIGUEBELETTE;RIVES;62.00;7.20;10.90;15.30;20.20;3.40
AIGUEBELETTE;RUMILLY;37.00;5.50;7.90;11.50;15.10;2.30
AIGUEBELETTE;SAINT GENIX SUR GUIERS;13.00;1.60;2.50;4.20;5.90;0.80
AIGUEBELETTE;SAINT MARCELLIN;114.00;12.70;19.90;28.70;37.80;6.30
AIGUEBELETTE;SEYNOD SUD;44.00;6.10;9.50;13.30;17.60;2.90
AIGUEBELETTE;ST MARTIN BELLEVUE A41 N;81.00;16.60;27.70;40.50;51.70;8.80
AIGUEBELETTE;ST MARTIN BELLEVUE A410;87.00;11.60;17.60;24.90;34.00;5.80
AIGUEBELETTE;ST QUENTIN FAL BARRIERE;78.00;10.90;16.10;22.90;30.60;5.40
AIGUEBELETTE;ST QUENTIN FAL BRETELLE;57.00;7.30;11.30;16.50;21.70;3.60
AIGUEBELETTE;TULLINS;90.00;10.30;15.40;22.10;29.60;5.00
AIGUEBELETTE;VILLEFONTAINE;53.00;6.80;10.40;15.10;19.40;3.30
AIGUEBELETTE;VINAY;104.00;11.70;17.80;25.90;34.20;5.70
AIGUEBELETTE;VOIRON;73.00;8.50;12.40;18.00;23.60;4.00
AIGUEBELETTE;VOREPPE BARRIERE;97.00;10.60;16.40;23.00;31.30;5.40
AITON;CHIGNIN BARRIERE;31.00;4.20;6.70;10.70;14.50;2.00
AITON;CHIGNIN LES MARCHES;25.00;2.80;4.50;6.50;9.20;1.50
AITON;CROLLES BARRIERE;61.00;7.90;12.30;17.60;24.80;4.10
AITON;CROLLES BRIGNOUD;48.00;7.20;11.00;13.10;18.40;3.70
AITON;HERMILLON;35.88;5.80;8.50;16.30;20.80;3.30
AITON;LE TOUVET;37.00;4.50;7.30;10.80;14.10;2.20
AITON;MONTMELIAN;18.00;2.20;3.30;4.70;6.50;1.10
AITON;PONTCHARRA;28.00;4.10;6.10;8.50;11.60;1.80
AITON;ST MICHEL MAURIENNE BAR;63.36;10.20;14.90;31.60;41.50;6.30
AITON;ST MICHEL MAURIENNE ECH;49.34;8.10;11.80;22.20;29.20;4.70
AITON;ST PIERRE BELLEVILLE;13.98;2.10;3.30;6.30;7.50;1.40
AITON;STE HELENE BARRIERE;17.00;1.90;3.20;5.00;6.40;1.10
AITON;STE MARIE DE CUINES;29.34;4.90;7.00;13.30;16.50;2.80
AIX NORD;AIGUEBELETTE;24.00;3.50;5.40;7.50;10.10;1.60
AIX NORD;AIX SUD;7.00;0.90;1.40;1.90;2.90;0.40
AIX NORD;ALLONZIER;38.00;4.50;6.70;9.30;12.90;2.10
AIX NORD;ANNECY CENTRE;26.00;3.30;5.00;7.20;9.50;1.50
AIX NORD;ANNECY NORD;31.00;3.80;6.00;7.90;10.90;1.90
AIX NORD;BOURGOIN;65.00;9.50;13.60;20.00;27.30;4.40
AIX NORD;CHAMBERY NORD;14.00;2.00;3.10;4.50;6.00;0.90
AIX NORD;CHATUZANGE BARRIERE;167.00;21.00;32.90;45.30;59.50;10.60
AIX NORD;ISLE D ABEAU CENTRE;71.00;9.70;15.10;21.60;29.30;4.70
AIX NORD;LA BAUME D HOSTUN;151.00;17.10;27.70;38.90;51.80;9.20
AIX NORD;LA TOUR DU PIN;56.00;7.90;12.20;17.80;23.60;4.00
AIX NORD;LES ABRETS;41.00;6.20;9.40;13.60;18.50;2.90
AIX NORD;MOIRANS NORD;101.00;11.40;18.00;26.70;34.20;5.60
AIX NORD;RIVES;86.00;10.10;16.30;22.60;30.00;4.80
AIX NORD;RUMILLY;13.00;1.60;2.40;3.90;4.80;0.70
AIX NORD;SAINT GENIX SUR GUIERS;37.00;5.70;7.80;11.80;16.30;2.30
AIX NORD;SAINT MARCELLIN;138.00;15.70;25.20;35.80;46.90;7.80
