name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
AIGUEBELETTE;Aiguebelette;3007;45.5768820;5.7992485;2;[36675385, 267138475];;close;AREA
AITON;Aiton;3033;45.5559554;6.2481429;2;[25631385, 27087837];;close;AREA
AIX NORD;Aix Nord;3010;45.7161491;5.9221560;6;[30904133, 4423736545, 7190727963, 7190727964, 7190727965, 7190727966];;close;AREA
AIX SUD;Aix Sud;3009;45.6536260;5.9216532;5;[6367206763, 6367206764, 6367206765, 6367206766, 6367206767];;close;AREA
ALLONZIER;Allonzier;3014;45.9897608;6.1277756;2;[26085850, 291392948];;close;AREA
ANNECY CENTRE;Annecy Centre;3012;45.8979211;6.0925664;9;[6484553454, 6484553462, 7923639031, 7923639037, 7923639073, 7923639074, 7923639075, 7923639076, 7923639077];;close;AREA
ANNECY NORD;Annecy Nord;3013;45.9388473;6.1169789;10;[4384995460, 4384995461, 4384995462, 4560499238, 5141229545, 5141229547, 5141229549, 5141229701, 7923473432, 7923473433];;close;AREA
BOURGOIN;Bourgoin;3004;45.5822626;5.3002391;2;[36713429, 261946952];;close;AREA
CHAMBERY NORD;Chambéry Nord;3008;45.6024284;5.8867608;23;[12608140, 12608143, 2408917631, 2408917632, 2408917633, 2408917634, 2408917635, 2408917636, 2408917637, 2408917638, 2408917639, 2408917640, 2408917641, 2408917642, 2408917643, 2408917644, 2408917645, 2408917646, 2408917647, 2408917648, 2408917649, 2408917650, 2408917651];;close;AREA
CHATUZANGE BARRIERE;Chatuzange Barrière;3091;45.0259152;5.0969532;2;[809154, 810324];;close;AREA
CHESNES;Chesnes;3071;45.6556504;5.0979386;2;[260490708, 260490725];;open;AREA
CHIGNIN BARRIERE;Chignin Barrière;3026;45.5126775;6.0022092;3;[12610219, 12610220, 4460945394];;close;AREA
CHIGNIN BRETELLE;Chignin Bretelle;3027;45.5112648;6.0045729;2;[60314514, 4423761565];;open;AREA
CHIGNIN LES MARCHES;Chignin Les Marches;3025;45.5090272;6.0062545;2;[60314536, 429600582];;close;AREA
CROLLES BARRIERE;Crolles Barrière;3021;45.2717703;5.9007427;2;[12536314, 12536316];;close;AREA
CROLLES BRIGNOUD;Crolles-Brignoud;3022;45.2717910;5.9006900;2;[27297173, 27297216];;close;AREA
CURSEILLES EST OUEST A41N;Cruseilles;15017;45.9933364;6.1280537;1;[4423745204,4393680581];;open;AREA
CURSEILLES EST OUEST A410;Cruseilles;15017;45.9933709;6.1281654;1;[4423745205,4393680580];;open;AREA
HERMILLON;Hermillon;52;45.2989217;6.3552921;2;[60305316, 82502276];;close;AREA
ISLE D ABEAU CENTRE;L'Isle-d'Abeau Centre;3003;45.6051030;5.2344726;2;[19224143, 267571099];;close;AREA
LA BAUME D HOSTUN;La Baume d'Hostun;3092;45.0646330;5.2080027;2;[15861717, 29789322];;close;AREA
LA TOUR DU PIN;La Tour-du-Pin;3005;45.5618738;5.4288421;2;[13871528, 13871529];;close;AREA
LA TOUR DU PIN EST;La Tour-du-Pin Est;3072;45.5571846;5.4628749;2;[2166249271, 2166249288];;close;AREA
LE CROZET;Le Crozet;3041;45.0454854;5.6787994;2;[565902, 26660567];;open;AREA
LE TOUVET;Le Touvet;3023;45.3474721;5.9636052;2;[35340135, 298941861];;close;AREA
LES ABRETS;Les Abrets;3006;45.5713824;5.6041018;2;[142940, 623483095];;close;AREA
MOIRANS;Moirans;3084;45.3200799;5.6075430;2;[137090, 258027361];;close;AREA
MOIRANS NORD;Moirans Nord;3083;45.3234894;5.6028346;2;[2407621699, 3177528677];;close;AREA
MONTMELIAN;Montmélian;3031;45.4949937;6.0575949;2;[27086904, 411797121];;close;AREA
PONTCHARRA;Pontcharra;3024;45.4258536;5.9951768;2;[289258237, 289258239];;close;AREA
RIVES;Rives;3085;45.3840979;5.4730239;2;[13871640, 14638934];;close;AREA
RUMILLY;Rumilly;3011;45.8158454;6.0069030;2;[5897323503, 5897323504];;close;AREA
SAINT EXUPERY;Saint Exupéry;3070;45.6727252;5.0514167;2;[143224, 18168123];;open;AREA
SAINT GENIX SUR GUIERS;Saint-Genix-sur-Guiers;3061;45.5727704;5.6591386;1;[257784733];;close;AREA
SAINT MARCELLIN;Saint-Marcellin;3093;45.1382768;5.3261599;4;[13871876, 21561471, 9247767305, 9247767306];;close;AREA
SAINT PIERRE D ALBIGNY;Saint-Pierre-d'Albigny;3032Saint-Pierre-d'Albigny ;45.5488777;6.1599137;2;[279140830, 412092432];;close;AREA
SEYNOD SUD;Seynod Sud;3020;45.8459699;6.0578384;2;[773491363, 773491371];;close;AREA
ST MARTIN BELLEVUE A41 N;Saint-Martin-Bellevue;3015;45.9897553;6.1277404;4;[505680, 505681];;close;AREA
ST MARTIN BELLEVUE A410;Saint-Martin-Bellevue;3015;45.9897553;6.1277404;2;[332477934,332477935];;close;AREA
ST PIERRE BELLEVILLE;Saint Pierre Belleville;2050;45.4698120;6.2871707;2;[322869087, 2188188012];;close;AREA
ST QUENTIN FAL BARRIERE;Saint-Quentin-Fal. Barrière;3001;45.6483669;5.1200573;2;[143255, 143256];;close;AREA
ST QUENTIN FAL BRETELLE;Saint-Quentin-Fal. Bretelle;3002;45.6485100;5.1201314;2;[243072571, 302229238];;close;AREA
STE HELENE BARRIERE;Sainte-Hélène-Barrière;3034;45.6199212;6.3119232;2;[13561190, 15809877];;close;AREA
STE MARIE DE CUINES;Sainte-Marie-de-Cuines;51;45.3460087;6.3055052;2;[21032868, 21032874];;close;AREA
TULLINS;Tullins;3095;45.2870178;5.5218684;2;[137232, 36715162];;close;AREA
VILLEFONTAINE;Villefontaine;3062;45.6284645;5.1644734;2;[2993275543, 2993283810];;close;AREA
VINAY;Vinay;3094;45.1994862;5.4194090;2;[21032382, 25452344];;close;AREA
VOIRON;Voiron;3086;45.3475490;5.5664029;2;[27174404, 27174434];;close;AREA
VOREPPE BARRIERE;Voreppe Barrière;3087;45.2831859;5.6216873;2;[126236, 136834];;close;AREA
COPPONEX;Copponex;15019;46.0500633;6.0809340;2;[848265449, 872150533];;open;AREA
ST MICHEL MAURIENNE BAR;Saint-Michel-Barrière;56;45.2186960 ;6.4590391;9;[5923855978,267165980,5923857300,5923857299,5923857298,5923857297,267166028,5923857301,5923857296];;close;SFTRF
ST MICHEL MAURIENNE ECH;Saint-Michel-Echangeur;54;45.2185495;6.4589619;5;[641831295,5923855974,5923855968,5923855965,423739665];;close;SFTRF
