name_from;name_to;distance;price1;price2;price3;price4;price5
PEAGE DE VIENNE;CHANAS;0;4.2;7.3;10.7;12.0;2.6
PEAGE DE VIENNE;TAIN;0;6.9;11.0;15.5;19.6;4.1
PEAGE DE VIENNE;VALENCE NORD;0;9.0;14.4;21.2;26.2;5.7
PEAGE DE VIENNE;VALENCE SUD;0;9.2;14.6;21.6;27.4;5.9
PEAGE DE VIENNE;LORIOL;0;12.8;19.1;27.7;36.3;7.5
PEAGE DE VIENNE;MONTELIMAR NORD;0;13.8;21.2;29.2;38.7;8.4
PEAGE DE VIENNE;MONTELIMAR SUD;0;16.6;25.1;36.0;46.6;9.7
PEAGE DE VIENNE;BOLLENE;0;18.1;27.4;39.6;51.0;10.7
PEAGE DE VIENNE;ORANGE CENTRE;0;20.4;31.3;44.0;57.5;12.1
PEAGE DE VIENNE;ORANGE SUD;0;22.3;33.0;46.7;60.8;12.8
PEAGE DE VIENNE;AVIGNON NORD;0;23.0;35.7;48.8;64.2;13.9
PEAGE DE VIENNE;AVIGNON SUD;0;23.3;36.4;50.5;66.8;14.3
PEAGE DE VIENNE;CAVAILLON;0;23.7;37.2;51.7;69.7;14.6
PEAGE DE VIENNE;SENAS;0;27.0;42.4;58.2;77.5;16.4
PEAGE DE VIENNE;SALON NORD;0;27.2;42.8;58.4;77.7;16.5
PEAGE DE VIENNE;SALON SUD;0;27.3;43.0;59.4;79.2;16.6
PEAGE DE VIENNE;GRANS;0;27.4;43.2;59.7;79.5;16.7
PEAGE DE VIENNE;SALON OUEST;0;29.1;45.5;62.7;86.1;17.6
PEAGE DE VIENNE;PEAGE DE SAINT MARTIN DE CRAU;0;29.4;46.1;64.0;87.3;18.0
PEAGE DE VIENNE;PEAGE DE LANCON;0;28.0;45.7;60.3;81.7;17.0
PEAGE DE VIENNE;ROQUEMAURE;0;23.1;35.5;48.2;64.5;13.4
PEAGE DE VIENNE;REMOULINS;0;23.9;36.9;50.9;67.7;14.4
PEAGE DE VIENNE;NIMES EST;0;26.5;41.7;55.4;75.3;16.0
PEAGE DE VIENNE;NIMES OUEST;0;26.8;42.1;57.1;76.4;16.3
PEAGE DE VIENNE;NIMES CENTRE;0;26.9;42.2;58.0;76.9;16.4
PEAGE DE VIENNE;NIMES GARONS;0;27.0;42.4;60.8;83.4;16.5
PEAGE DE VIENNE;PEAGE D ARLES;0;27.2;45.0;61.3;83.7;17.5
PEAGE DE VIENNE;GALLARGUES;0;28.6;45.0;62.0;82.8;17.0
PEAGE DE VIENNE;LUNEL;0;28.9;45.4;62.5;84.1;17.2
PEAGE DE VIENNE;PEAGE DE BAILLARGUES;0;32.4;50.7;69.4;91.5;19.0
AUBERIVES;CHANAS;0;0.6;1.2;1.7;2.4;0.4
AUBERIVES;TAIN;0;3.2;4.3;6.5;8.5;1.9
AUBERIVES;VALENCE NORD;0;4.8;7.2;9.8;12.8;2.9
AUBERIVES;VALENCE SUD;0;5.1;7.6;10.9;14.4;3.1
AUBERIVES;LORIOL;0;7.5;11.0;16.0;20.9;4.6
AUBERIVES;MONTELIMAR NORD;0;8.4;13.8;19.3;24.4;5.2
AUBERIVES;MONTELIMAR SUD;0;11.2;16.8;24.6;31.5;6.6
AUBERIVES;BOLLENE;0;12.6;19.1;27.9;35.8;7.7
AUBERIVES;ORANGE CENTRE;0;15.2;23.1;33.0;43.6;9.0
AUBERIVES;ORANGE SUD;0;17.1;24.0;34.8;46.3;9.9
AUBERIVES;AVIGNON NORD;0;18.1;27.7;37.3;51.7;11.0
AUBERIVES;AVIGNON SUD;0;19.2;29.1;39.0;53.2;11.4
AUBERIVES;CAVAILLON;0;19.7;30.6;40.8;54.5;11.6
AUBERIVES;SENAS;0;22.7;34.2;45.9;61.8;13.3
AUBERIVES;SALON NORD;0;22.8;34.6;47.1;63.6;13.4
AUBERIVES;SALON SUD;0;22.9;35.1;49.5;66.4;13.5
AUBERIVES;GRANS;0;23.0;35.3;49.7;66.7;13.6
AUBERIVES;SALON OUEST;0;24.7;37.7;51.6;69.5;14.4
AUBERIVES;PEAGE DE SAINT MARTIN DE CRAU;0;25.5;39.0;55.0;72.7;15.1
AUBERIVES;PEAGE DE LANCON;0;26.1;39.4;55.1;72.5;14.9
AUBERIVES;ROQUEMAURE;0;17.7;27.1;37.5;50.1;10.4
AUBERIVES;REMOULINS;0;19.3;28.7;40.4;54.3;11.5
