name_from,name_to,distance,price1,price2,price3,price4,price5
PEAGE DE MONTAUBAN NORD,CAUSSADE,,1.7,2.6,3.9,5.5,1.2
PEAGE DE MONTAUBAN NORD,CAHORS SUD,,4.4,7.2,10.4,15.1,2.8
PEAGE DE MONTAUBAN NORD,CAHORS NORD,,7.4,10.9,14.6,21.0,4.2
PEAGE DE MONTAUBAN NORD,LABASTIDE MURAT,,10.8,16.0,21.1,31.8,6.1
PEAGE DE MONTAUBAN NORD,SOUILLAC,,13.7,21.2,28.3,40.1,7.8
PEAGE DE MONTAUBAN NORD,PEAGE DE GIGNAC,,15.9,24.6,36.4,51.6,9.8
CAUSSADE,PEAGE DE MONTAUBAN NORD,,1.7,2.6,3.9,5.5,1.2
CAUSSADE,CAHORS SUD,,2.1,3.7,5.1,7.2,1.3
CAUSSADE,CAHORS NORD,,5.0,7.7,11.2,16.0,3.0
CAUSSADE,LABASTIDE MURAT,,7.5,11.3,16.8,23.6,4.5
CAUSSADE,SOUILLAC,,10.2,15.8,22.5,33.6,6.1
CAUSSADE,PEAGE DE GIGNAC,,13.4,19.9,28.8,41.4,8.0
CAHORS SUD,PEAGE DE MONTAUBAN NORD,,4.4,7.2,10.4,15.1,2.8
CAHORS SUD,CAUSSADE,,2.1,3.7,5.1,7.2,1.3
CAHORS SUD,CAHORS NORD,,2.2,3.7,5.1,7.1,1.3
CAHORS SUD,LABASTIDE MURAT,,4.9,7.5,11.2,15.6,2.8
CAHORS SUD,SOUILLAC,,7.5,11.8,17.1,24.5,4.3
CAHORS SUD,PEAGE DE GIGNAC,,10.6,16.3,23.0,31.6,6.0
CAHORS NORD,PEAGE DE MONTAUBAN NORD,,7.4,10.9,14.6,21.0,4.2
CAHORS NORD,CAUSSADE,,5.0,7.7,11.2,16.0,3.0
CAHORS NORD,CAHORS SUD,,2.2,3.7,5.1,7.1,1.3
CAHORS NORD,LABASTIDE MURAT,,2.2,3.7,5.3,7.0,1.3
CAHORS NORD,SOUILLAC,,5.1,8.0,11.2,16.5,3.1
CAHORS NORD,PEAGE DE GIGNAC,,8.1,12.1,18.5,24.3,4.8
LABASTIDE MURAT,PEAGE DE MONTAUBAN NORD,,10.8,16.0,21.1,31.8,6.1
LABASTIDE MURAT,CAUSSADE,,7.5,11.3,16.8,23.6,4.5
LABASTIDE MURAT,CAHORS SUD,,4.9,7.5,11.2,15.6,2.8
LABASTIDE MURAT,CAHORS NORD,,2.2,3.7,5.3,7.0,1.3
LABASTIDE MURAT,SOUILLAC,,2.7,3.9,5.9,8.2,1.4
LABASTIDE MURAT,PEAGE DE GIGNAC,,5.8,9.6,13.9,19.8,3.5
SOUILLAC,PEAGE DE MONTAUBAN NORD,,13.7,21.2,28.3,40.1,7.8
SOUILLAC,CAUSSADE,,10.2,15.8,22.5,33.6,6.1
SOUILLAC,CAHORS SUD,,7.5,11.8,17.1,24.5,4.3
SOUILLAC,CAHORS NORD,,5.1,8.0,11.2,16.5,3.1
SOUILLAC,LABASTIDE MURAT,,2.7,3.9,5.9,8.2,1.4
SOUILLAC,PEAGE DE GIGNAC,,2.2,3.6,4.8,6.9,1.2
PEAGE DE GIGNAC,PEAGE DE MONTAUBAN NORD,,15.9,24.6,36.4,51.6,9.8
PEAGE DE GIGNAC,CAUSSADE,,13.4,19.9,28.8,41.4,8.0
PEAGE DE GIGNAC,CAHORS SUD,,10.6,16.3,23.0,31.6,6.0
PEAGE DE GIGNAC,CAHORS NORD,,8.1,12.1,18.5,24.3,4.8
PEAGE DE GIGNAC,LABASTIDE MURAT,,5.8,9.6,13.9,19.8,3.5
PEAGE DE GIGNAC,SOUILLAC,,2.2,3.6,4.8,6.9,1.2
MUSSIDAN EST,MUSSIDAN SUD,,0.7,1.5,2.3,3.1,0.5
MUSSIDAN EST,MONTPON MENESTEROL,,3.3,5.3,7.5,10.7,1.9
MUSSIDAN EST,COUTRAS,,6.0,9.4,14.9,20.7,3.6
MUSSIDAN EST,LIBOURNE NORD,,7.7,12.4,16.9,25.0,4.6
MUSSIDAN EST,PEAGE D ARVEYRES,,10.0,15.6,23.3,31.5,5.9
MUSSIDAN SUD,MUSSIDAN EST,,0.7,1.5,2.3,3.1,0.5
MUSSIDAN SUD,MONTPON MENESTEROL,,1.7,2.7,4.2,6.7,1.0
MUSSIDAN SUD,COUTRAS,,4.4,6.8,9.8,14.5,2.6
MUSSIDAN SUD,LIBOURNE NORD,,6.1,9.4,13.7,19.9,3.7
MUSSIDAN SUD,PEAGE D ARVEYRES,,8.5,12.7,18.5,24.9,4.8
MONTPON MENESTEROL,MUSSIDAN EST,,3.3,5.3,7.5,10.7,1.9
MONTPON MENESTEROL,MUSSIDAN SUD,,1.7,2.7,4.2,6.7,1.0
MONTPON MENESTEROL,COUTRAS,,2.0,3.3,4.7,7.2,1.2
MONTPON MENESTEROL,LIBOURNE NORD,,3.5,5.8,8.1,12.4,2.0
MONTPON MENESTEROL,PEAGE D ARVEYRES,,5.1,8.1,11.7,17.0,3.5
COUTRAS,MUSSIDAN EST,,6.0,9.4,14.9,20.7,3.6
COUTRAS,MUSSIDAN SUD,,4.4,6.8,9.8,14.5,2.6
COUTRAS,MONTPON MENESTEROL,,2.0,3.3,4.7,7.2,1.2
COUTRAS,LIBOURNE NORD,,1.4,2.1,3.2,4.6,0.8
COUTRAS,PEAGE D ARVEYRES,,2.7,4.3,6.5,9.4,1.6
LIBOURNE NORD,MUSSIDAN EST,,7.7,12.4,16.9,25.0,4.6
LIBOURNE NORD,MUSSIDAN SUD,,6.1,9.4,13.7,19.9,3.7
LIBOURNE NORD,MONTPON MENESTEROL,,3.5,5.8,8.1,12.4,2.0
LIBOURNE NORD,COUTRAS,,1.4,2.1,3.2,4.6,0.8
LIBOURNE NORD,PEAGE D ARVEYRES,,1.2,1.7,2.9,4.0,0.7
PEAGE D ARVEYRES,MUSSIDAN EST,,10.0,15.6,23.3,31.5,5.9
PEAGE D ARVEYRES,MUSSIDAN SUD,,8.5,12.7,18.5,24.9,4.8
PEAGE D ARVEYRES,MONTPON MENESTEROL,,5.1,8.1,11.7,17.0,3.5
PEAGE D ARVEYRES,COUTRAS,,2.7,4.3,6.5,9.4,1.6
