name_from,name_to,distance,price1,price2,price3,price4,price5
MUSSIDAN EST,MUSSIDAN SUD,,0.7,1.5,2.3,3.1,0.5
MUSSIDAN EST,MONTPON MENESTEROL,,3.3,5.3,7.5,10.7,1.9
MUSSIDAN EST,COUTRAS,,6.0,9.4,14.9,20.7,3.6
MUSSIDAN EST,LIBOURNE NORD,,7.7,12.4,16.9,25.0,4.6
MUSSIDAN EST,PEAGE D ARVEYRES,,10.0,15.6,23.3,31.5,5.9
MUSSIDAN SUD,MUSSIDAN EST,,0.7,1.5,2.3,3.1,0.5
MUSSIDAN SUD,MONTPON MENESTEROL,,1.7,2.7,4.2,6.7,1.0
MUSSIDAN SUD,COUTRAS,,4.4,6.8,9.8,14.5,2.6
MUSSIDAN SUD,LIBOURNE NORD,,6.1,9.4,13.7,19.9,3.7
MUSSIDAN SUD,PEAGE D ARVEYRES,,8.5,12.7,18.5,24.9,4.8
MONTPON MENESTEROL,MUSSIDAN EST,,3.3,5.3,7.5,10.7,1.9
MONTPON MENESTEROL,MUSSIDAN SUD,,1.7,2.7,4.2,6.7,1.0
MONTPON MENESTEROL,COUTRAS,,2.0,3.3,4.7,7.2,1.2
MONTPON MENESTEROL,LIBOURNE NORD,,3.5,5.8,8.1,12.4,2.0
MONTPON MENESTEROL,PEAGE D ARVEYRES,,5.1,8.1,11.7,17.0,3.5
COUTRAS,MUSSIDAN EST,,6.0,9.4,14.9,20.7,3.6
COUTRAS,MUSSIDAN SUD,,4.4,6.8,9.8,14.5,2.6
COUTRAS,MONTPON MENESTEROL,,2.0,3.3,4.7,7.2,1.2
COUTRAS,LIBOURNE NORD,,1.4,2.1,3.2,4.6,0.8
COUTRAS,PEAGE D ARVEYRES,,2.7,4.3,6.5,9.4,1.6
LIBOURNE NORD,MUSSIDAN EST,,7.7,12.4,16.9,25.0,4.6
LIBOURNE NORD,MUSSIDAN SUD,,6.1,9.4,13.7,19.9,3.7
LIBOURNE NORD,MONTPON MENESTEROL,,3.5,5.8,8.1,12.4,2.0
LIBOURNE NORD,COUTRAS,,1.4,2.1,3.2,4.6,0.8
LIBOURNE NORD,PEAGE D ARVEYRES,,1.2,1.7,2.9,4.0,0.7
PEAGE D ARVEYRES,MUSSIDAN EST,,10.0,15.6,23.3,31.5,5.9
PEAGE D ARVEYRES,MUSSIDAN SUD,,8.5,12.7,18.5,24.9,4.8
PEAGE D ARVEYRES,MONTPON MENESTEROL,,5.1,8.1,11.7,17.0,3.5
PEAGE D ARVEYRES,COUTRAS,,2.7,4.3,6.5,9.4,1.6
PEAGE D ARVEYRES,LIBOURNE NORD,,1.2,1.7,2.9,4.0,0.7
