name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
PEAGE DE VEAUCHETTE;Péage de Veauchette;Péage de Veauchette;45.560687;4.2418185;2;[28126748, 28126751];;close;ASF
MONTBRISON MONTROND;Montbrison-Montrond;7;45.6373059;4.1960802;2;[34720192, 36129702];;close;ASF
FEURS;Feurs;6;45.7375962;4.1862842;2;[4422927258, 4422927259];;close;ASF
PEAGE DE ST ROMAIN DE POPEY;Péage de Saint-Romain-de-Popey;Péage de Saint-Romain-de-Popey;45.8719396;4.5088342;2;[1707787330, 4422924493];;close;ASF
TARARE EST FERME;Tarare-Est-système-fermé;35;45.8719026;4.5088503;2;[4422924492, 4422924495];;close;ASF
TARARE OUEST;Tarare-Ouest;34;45.8916265;4.4031281;2;[1204177181, 5203028269];;close;ASF
BALBIGNY;Balbigny;33;45.8411009;4.1641534;2;[1366555922, 1373820400];;close;ASF
ST GERMAIN LAVAL;Saint-Germain-Laval;32;45.8609213;4.0420209;1;[703160692];;close;ASF
NOIRETABLE;Noirétable;31;45.8493579;3.7942361;1;[82222593];;close;ASF
THIERS EST;Thiers Est;30;45.8787911;3.6248586;2;[285818973, 4422919911];;close;ASF
THIERS OUEST;Thiers Ouest;29;45.8599682;3.5037813;2;[560799932, 4422919071];;close;ASF
LEZOUX;Lezoux;28;45.8485714;3.383616;2;[285839327, 295028548];;close;ASF
PEAGE DES MARTRES D ARTIERE;Péage des Martres-d'Artière;Péage des Martres-d'Artière;45.8279708;3.2411609;2;[2087934, 28126222];;close;ASF
TARARE EST OUVERT;Tarare Est-système-ouvert;35;45.8763081;4.5220540;2;[1400972216, 1707784060];;open;ASF
