name_from;name_to;distance;price1;price2;price3;price4;price5
ABLIS;ALENCON NORD;;21.80;33.70;52.30;72.90;12.90
ABLIS;ALENCON SUD;;21.30;33.10;52.10;71.40;12.70
ABLIS;PEAGE DE CORZE;;28.50;42.60;66.40;87.40;17.10
ABLIS;ARGENTAN;;32.80;53.60;80.20;109.50;19.40
ABLIS;AUVOURS;;16.70;26.10;41.90;56.30;10.60
ABLIS;BEAUFORT EN VALLEE;;27.80;42.40;63.90;86.00;17.00
ABLIS;MARESCHE;;18.90;30.20;46.10;63.90;11.90
ABLIS;BERNAY;;42.10;67.20;101.00;139.60;25.40
ABLIS;BOURGUEIL;;32.40;48.40;74.80;99.80;19.80
ABLIS;BRIONNE;;47.70;76.50;111.40;152.50;29.10
ABLIS;BROU;;7.80;12.50;19.70;27.10;4.70
ABLIS;CHARTRES EST;;2.80;5.10;6.00;7.40;1.70
ABLIS;CHARTRES THIVARS;;4.50;7.30;12.10;15.20;2.70
ABLIS;MONTABON;;21.50;33.50;54.40;72.20;13.10
ABLIS;CONNERRE;;15.40;23.40;35.80;48.50;8.80
ABLIS;DURTAL;;23.40;35.10;55.60;74.50;14.20
ABLIS;ECOMMOY;;19.40;30.40;48.50;64.10;12.10
ABLIS;VAIGES;;24.80;38.50;58.40;79.80;15.00
ABLIS;GACE;;32.70;52.30;77.00;105.80;19.80
ABLIS;ILLIERS COMBRAY;;6.70;10.40;17.00;19.90;3.80
ABLIS;LA FERTE BERNARD;;11.10;17.80;27.60;37.80;6.60
ABLIS;LAVAL EST;;26.90;41.50;63.00;85.70;16.30
ABLIS;LAVAL OUEST;;27.80;42.60;65.80;87.90;17.00
ABLIS;LE MANS OUEST;;18.30;27.20;43.60;59.30;11.20
ABLIS;LE MANS SUD;;19.30;28.90;46.10;62.80;11.80
ABLIS;LE MANS ZI NORD;;17.20;25.40;37.70;57.20;10.30
ABLIS;LONGUE JUMELLES;;28.80;43.50;66.60;88.90;17.60
ABLIS;ORBEC;;37.70;60.60;89.70;123.10;22.90
