name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
ABLIS;Ablis;1;48.5288128;1.8324339;2;[3321275857, 3321280179];;;
AIGREFEUILLE;Aigrefeuille;3;47.0692661;-1.4374016;2;[3903235081, 4088640522];;;
ALENCON NORD;Alençon Nord;18;48.4530431;0.1240957;2;[28025816, 5617171486];;;
ALENCON SUD;Alençon Sud;19;48.3978618;0.1046972;2;[1274932342, 1274932724];;;
ALLAINVILLE;Allainville;11;48.456566;1.9083125;3;[292944726, 292944753, 5702872167];;;
AMBERIEU EN BUGEY;Ambérieu-en-Buguey;8;45.9776792;5.312599;2;[142831, 36534628];;;
ANCENIS;Ancenis;20;47.4008121;-1.1943108;7;[50698281, 331944036, 1157608675, 2463694844, 2463694870, 6279355554, 6279355555];;;
PEAGE DE CORZE;Péage de Corzé-Angers;Péage de Corzé-Angers;47.5393628;-0.3410345;4;[259093186, 1157490221, 1157490222, 1157490224];;close;
ARGENTAN;Argentan;Argentan;48.6328851;0.1909656;2;[268212668, 268212669];;;
ARLAY;Arlay;7.1;46.7778289;5.5185989;1;[4415773260];;;
ARTENAY;Artenay;13;48.0841897;1.8557181;2;[26228454, 26228469];;;
AUVOURS;Auvours;23;48.0046451;0.3124879;2;[55440641, 275169751];;close;
AUXERRE NORD;Auxerre Nord;19;47.8516154;3.5486952;2;[126217, 255936638];;;
AUXERRE SUD;Auxerre Sud;20;47.7967621;3.6528479;2;[811337384,10016778714];;close;APRR
AUXY;Auxy;7;48.0853357;2.4727593;2;[1651430004, 1651430019];;;
AVALLON;Avallon;22;47.5093282;3.992068;2;[28868612, 28868623];;;
BALAN;Balan;6;45.851012;5.0994272;5;[25783301, 774739116, 2422255483, 2422255492, 2422255497];;;
PEAGE DE MONTREUIL AUX LIONS;Péage de Montreuil-aux-Lions;19;49.0096803;3.1456152;3;[635884768, 635884770, 5702872138];;close;APRR
BAUME LES DAMES;Baume-les-Dames;5;47.3710062;6.3797317;2;[341343259, 370025627];;;
BEAUFORT EN VALLEE;Beaufort-en-Vallée;1;47.4681192;-0.1935225;4;[1967477056, 1967477187, 1967477208, 1967477478];;;
BEAULIEU;;;;;;;;;
BEAUMONT;Beaupont;10;46.4409805;5.2698552;2;[727755213, 2833842348];;;
BEAUMONT SUR SARTHE;;;;;;;;;
BEAUNE NORD;Beaune Nord;24;47.0419741;4.850623;2;[279341406, 711774392];;;
BEAUNE SUD;Beaune Sud;24.1;47.0024231;4.8547961;3;[245806764, 289537452, 5741047101];;;
BEAUPONT;Beaupont;10;46.4409805;5.2698552;2;[727755213, 2833842348];;;
BEAUPREAU SAINT GERMAIN;Beaupreau-saint-germain;19;47.4317189;-0.8163578;2;[1375334829, 1375334831];;;
BEAUREPAIRE;Beaurepaire;8;46.6664307;5.4189821;2;[1581498325, 2199932050];;;
BELLEGARDE;Bellegarde;10;46.1160243;5.795008;2;[2150890046, 2150890048];;;
BELLEVILLE SUR SAONE;Belleville-Sur-Saône;30;46.1038175;4.7502931;2;[276599460, 392059515];;;
BERNAY;Bernay;14;49.1376884;0.5780951;1;[469982848];;;
BERSAILLIN;;;;;;;;;
BESANCON EST;Besançon Est;4.1;47.3323071;6.1512694;2;[814664691, 814664757];;;
BESANCON NORD;Besançon Nord;4;47.2761169;5.9879716;2;[317071039, 1373677796];;;
BESANCON OUEST;Besançon Ouest;3;47.2347307;5.8981115;2;[343206372, 343206373];;;
BEYNOST;Beynost;Beynost;45.8206664;4.9939405;2;[143584, 21670932];;;
BIERRE LES SEMUR;Bierre-lès-Semur;23;47.4365874;4.3094972;2;[289537324, 289537367];;;
BLERE;Bléré;11;47.2864836;0.9844652;2;[228863617, 2105191531];;;
BLOIS;Blois;17;47.6215008;1.3464557;2;[95914543, 3722209738];;;
BOURG NORD;Bourg Nord;5;46.2599489;5.1669614;2;[21760589, 652123095];;;
BOURG SUD;Bourg Sud;7;46.1456922;5.2862738;2;[25946087, 317802090];;;
BOURGES;Bourges;7;47.0448918;2.3417968;2;[33148650, 2095595179];;;
BOURGUEIL;Bourgueil;5;47.2532013;0.166591;2;[101480497, 297326241];;;
BRIONNE;Brionne;13;49.2420686;0.7724971;1;[1265561526];;;
BROU;Bram;22;43.238934;2.0999074;2;[2144776681, 2442483773];;;
BULGNEVILLE;Bulgneville;9;48.2157812;5.8325029;1;[289635259];;;
CHALON CENTRE;Chalon Centre;25.2;46.8025546;4.829904;8;[1693318417, 1693318419, 2385615588, 2385615592, 2385615595, 2385615599, 2385615601, 9713436538];;;
CHALON NORD;Chalon Nord;APRR;46.8304241;4.8317434;2;[12171437315, 12171437316];;;
CHALON SUD;Chalon Sud;26;46.754768;4.8331365;8;[289537479, 720744291, 2385481454, 2385481455, 2385481456, 2385481457, 2385483658, 2385483659];;;
CHALONS LA VEUVE;;;;;;;;;
CHAMBRAY;Chambray;23;47.3491372;0.7036606;4;[61669918, 254011685, 353171282, 726458210];;;
CHANTONNAY;Chantonnay;6;46.6272005;-1.1544805;6;[309941699, 802033563, 4003122683, 4003122684, 4003122685, 7227010528];;;
CHARMONT;;;;;;;;;
CHARTRES EST;Chartres Est;2;48.4551129;1.5391447;4;[264064866, 1375535641, 1375535646, 1375535663];;;
CHARTRES THIVARS;Chartres-Thivars;3;48.3634354;1.444326;4;[254662308, 1375532385, 1375532386, 1560431421];;;
CHATEAU DU LOIR MONTABON;;;;;;;;;
CHATEAU RENAULT;;;;;;;;;
CHATEAU THIERRY;Château-Thierry;20;49.0784022;3.3987808;2;[1382180500, 1382180508];;;
CHATELLERAULT NORD;Châtellerault Nord;26;46.8369794;0.530822;1;[340395444];;;
