cofiroute_name,asf_name
ANGERS CORZE,PEAGE DE CORZE
AUVOURS LE MANS ZI SUD,AUVOURS
BARRIERE DE MONTREUIL AUX LIONS,PEAGE DE MONTREUIL AUX LIONS
BEAULIEU,PEAGE DE BEAULIEU S LAYON
BEAUMONT,PEAGE DE BEAUMONT
BEAUMONT SUR SARTHE,MARESCHE
BERSAILLIN,PEAGE DE BERSAILLIN
CHARMONT,CHARMONT SOUS BARBUISE
CHATEAU DU LOIR MONTABON,MONTABON
CHATEAU RENAULT,AMBOISE CHATEAU RENAULT
CLERMONT,PEAGE DE CLERMONT
CRIMOLOIS,PEAGE DE DIJON CRIMOLOIS
DIJON SUD,PEAGE DE DIJON SUD
ELOISE ANNECY,ELOISE
EVRON,VAIGES
FLEURY EN BIERE,PEAGE DE FLEURY EN BIERE
FONTENAY LE COMTE,FONTENAY CENTRE
GONDREVILLE LA FRANCHE NORD,GONDREVILLE NORD
GONDREVILLE LA FRANCHE SUD,GONDREVILLE SUD
JANVILLE ALLAINES,ALLAINES
LA BOISSE,PEAGE DE LA BOISSE
LA COTIERE,PEAGE DE LA COTIERE
LE BIGNON,PEAGE DU BIGNON
LE MANS CENTRE UNIVERSITE,LE MANS OUEST
LES EPRUNES,PEAGE DES EPRUNES
MEUNG,MEUNG SUR LOIRE
EPERNAY,REIMS SUD
GYE,PEAGE DE GYE
ORMES,PEAGE REIMS NORD
PARIS LA FOLIE BESSIN,PEAGE DE ST ARNOULT
POUILLY EN AUXOIS,PEAGE DE POUILLY EN AUXOIS
REIMS TAISSY,PEAGE DE REIMS EST
REIMS TINQUEUX,PEAGE REIMS NORD
RESTIGNE,PEAGE DE RESTIGNE
ROUMOIS,PEAGE DU ROUMOIS
SAINT AMAND,ST AMAND MONTROND
SAINT MAIXENT LUSIGNAN,ST MAIXENT SOUDAN
SAINT MAURICE,PEAGE DE ST MAURICE
SAUMUR VIVY,VIVY SAUMUR
SEICHES,SEICHES SUR LE LOIR
SILLE LE GUILLAUME MAMERS,ROUESSE FONTAINE
SILLE LE GUILLAUME SABLE,JOUE EN CHARNIE
ST GERMAIN LES VERGNES,PEAGE DE ST GERMAIN LES VERGNES
STE HERMINE,SAINTE HERMINE
TOURS CENTRE SORIGNY,PEAGE DE TOURS CENTRE
TOURS CENTRE MONNAIE,PEAGE DE MONNAIE
TOURS CENTRE SAINT CHRISTOPHE,PEAGE DE ST CHRISTOPHE
VAL DE SAONE,PEAGE DE VAL DE SAONE
VEIGNE,PEAGE DE VEIGNE
VILLEFRANCHE LIMAS,PEAGE DE VILLEFRANCHE LIMAS
VITRE LA GRAVELLE,PEAGE DE LA GRAVELLE
VIRSAC,PEAGE DE VIRSAC
