name;distance;price1;price2;price3;price4;price5
VIENNE SUD;;1.9;2.5;3.1;3.8;1.2
CONDRIEU;;1.1;1.1;1.1;1.1;1.1
COUDOUX;;2.0;3.2;4.2;5.1;1.1
L UNION;;0.5;0.7;1.0;1.3;0.2
PEAGE DE TOULOUSE EST;;1.7;2.7;4.2;5.7;1.1
GUICHE;;1.3;1.3;1.3;1.3;1.3
LESTELLE DE SAINT MARTORY;;1.5;2.4;3.4;4.3;0.8
PEAGE DE MURET;;1.8;2.9;4.3;5.9;1.0
PEAGE DE BIRIATOU;;1.9;3.0;4.4;5.8;1.1
ST JEAN DE LUZ SUD;;0.7;1.2;1.6;2.2;0.4
PEAGE DE LA NEGRESSE;;2.8;4.0;6.2;8.6;1.6
BIARRITZ;;1.2;2.0;2.9;3.8;0.7
BAYONNE SUD;;0.8;1.3;1.6;2.1;0.4
ONDRES;;1.0;1.7;2.4;3.1;0.6
CAPBRETON;;2.0;3.1;4.6;5.9;1.2
PEAGE DE BENESSE MARENNE;;4.3;6.6;9.9;12.6;2.8
MARTEL;;0.8;1.2;1.7;2.4;0.4
PEAGE DE THENON;;8.6;13.1;18.5;26.1;5.2
LA BACHELLERIE;;3.4;5.2;8.0;11.2;2.0
MANSAC TERRASSON;;1.0;1.6;2.7;3.7;0.6
THOUARCE;;0.7;1.2;1.8;2.2;0.4
TONNAY CHARENTE;;0.7;1.2;1.9;2.6;0.4
TARARE EST OUVERT;;1.8;2.8;5.1;6.8;1.0
CHESNES;19;2,3;3,5;5,6;6,9;1,1
CHIGNIN BRETELLE;7;1;1,6;2,7;3,7;0,5
COPPONEX;11;2,8;5,3;8,5;10,9;1,8
CURSEILLES EST OUEST A410;25;3,2;4,8;7,3;9,3;1,4
CURSEILLES EST OUEST A41N;19;7,8;14,6;21,7;26,7;4,3
LE CROZET;31;4,5;7;9,9;12,7;2
SAINT EXUPERY;19;2,3;3,5;5,6;6,9;1,1
CROTTET;7.48;0.80;1.20;1.80;2.30;0.40
DORDIVES;61.53;6.00;9.00;14.10;18.90;3.70
FONTAINE LARIVIERE;33.20;3.10;4.90;7.80;10.90;1.90
GENAY;16.65;1.70;2.50;4.20;5.60;1.00
LE TOURNEAU;39.51;3.80;5.80;8.90;11.90;2.50
MIONNAY;9.34;1.00;1.50;2.40;3.30;0.50
MYENNES;32.93;4.20;6.00;8.40;11.90;2.80
QUINCIEUX BARRIERE;39.58;3.60;5.60;8.30;11.70;2.30
VICHY;12.96;1.20;1.90;2.90;4.00;0.70
ANCENIS DIR ANGERS;;5.20;8.90;14.40;16.90;3.20
ANCENIS DIR NANTES;;3.60;6.20;8.40;11.20;2.20
ANCENIS PEAGE;;10.40;16.20;24.50;33.00;6.20
BEAUPREAU SAINT GERMAIN;;1.80;3.30;4.80;5.40;1.10
SAINT JEAN DE LINIERES;;0.60;0.90;1.20;1.80;0.30
VIEILLEVILLE;;0.70;2.00;2.10;2.20;0.50
TOURS CENTRE CANDE;;2.10;3.40;5.80;7.50;1.40
BOULOGNE EST (péage d'Herquelingue);;1.10;1.60;2.20;3.40;0.50
CALAIS (péage de Setques);;2.80;4.40;6.40;9.00;1.50
LA NEUVILLETTE N°15;;0.90;1.30;1.80;2.40;0.50
SURVILLIERS / SAINT-WITZ N°7;;1.00;1.40;1.80;2.20;0.50
VALLÉE DE LA HEM N°2;;1.30;2.00;2.60;4.30;0.80
PEAGE DE MONTESSON;;10.80;20.80;37.20;45.70;5.50
PEAGE DE CHAMBOURCY;;2.60;5.20;9.40;12.40;1.30
