name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
CONDRIEU;Condrieu;10;45.5055132;4.8406636;2;[21562312,635290239];;open;ASF
PEAGE DE VIENNE;Péage de Vienne;Péage de Vienne;45.4761176;4.8330663;2;[130368,13397120];;close;ASF
AUBERIVES;Auberives Nord-Sud;;45.3898018;4.8053591;1;[130221205];;close;ASF
CHANAS;Chanas;12;45.3211595;4.8098547;2;[16567653,28128388];;close;ASF
TAIN;Tain;13;45.0684081;4.8684133;2;[13382945,15553152];;close;ASF
VALENCE NORD;Valence Nord;14;44.9701995;4.8875504;2;[656078,14961149];;close;ASF
VALENCE SUD;Valence Sud;15;44.9049476;4.8801182;2;[655887,655992];;close;ASF
LORIOL;Loriol;16;44.756849;4.7912697;2;[650878,26538223];;close;ASF
MONTELIMAR NORD;Montélimar Nord;17;44.6689369;4.7949641;2;[14798265,14798276];;close;ASF
MONTELIMAR SUD;Montélimar Sud;18;44.4813385;4.7635161;2;[656776,14960992];;close;ASF
BOLLENE;Bollène;19;44.2902627;4.7509278;2;[14798007,14798008];;close;ASF
ORANGE NORD;Orange nord;20;44.1642263;4.7645828;1;[277451985];;close;ASF
ORANGE CENTRE;Orange Centre;21;44.1353197;4.7956315;8;[656795,448451541,8394070485,8394070486,8394070487,8394070488,8394070489,8394070490];;close;ASF
ORANGE SUD;Orange Sud;22;44.1109575;4.8452452;2;[277281847,8349621741];;close;ASF
AVIGNON NORD;Avignon Nord;23;43.9820509;4.8884123;2;[154427,1674101568];;close;ASF
AVIGNON SUD;Avignon Sud;24;43.8929306;4.9158159;2;[154642,21617587];;close;ASF
CAVAILLON;Cavaillon;25;43.8199281;5.0278555;2;[26404247,26404271];;close;ASF
SENAS;Sénas;26;43.7420819;5.0898154;2;[246011442,246213575];;close;ASF
SALON NORD;Salon Nord;27;43.6594307;5.1025902;1;[308235934];;close;ASF
SALON SUD;Salon Sud;15;43.6269017;5.106501;2;[308079844,308777762];;close;ASF
GRANS;Grans;14;43.6229698;5.0835304;2;[511439486,1668541932];;close;ASF
SALON OUEST;Salon Ouest;13;43.6363295;5.0228102;2;[308001966,1456366661];;close;ASF
PEAGE DE SAINT MARTIN DE CRAU;Péage de Saint-Martin-de-Crau;Péage de Saint-Martin-de-Crau;43.6379262;4.8578292;2;[1796885587,1825203802];;close;ASF
PEAGE DE LANCON;Péage de Lançon;Péage de Lançon;43.5937043;5.1747436;2;[26410395,26410440];;close;ASF
COUDOUX;Coudoux;28;43.5523405;5.2383307;3;[259970703,259970749,10616130411];;open;ASF
ROQUEMAURE;Roquemaure;22;44.0256301;4.7353923;2;[1674020827,1674020828];;close;ASF
REMOULINS;Remoulins;23;43.9373087;4.5983631;2;[1672388768,1672388771];;close;ASF
NIMES EST;Nîmes Est;24;43.8560961;4.420576;2;[104534425,3230734317];;close;ASF
NIMES OUEST;Nîmes Ouest;25;43.8137306;4.3429068;2;[104513274,104513419];;close;ASF
NIMES CENTRE;Nîmes Centre;1;43.8074823;4.3744374;2;[300685333,300688079];;close;ASF
NIMES GARONS;Nîmes Garons;2;43.761307;4.4274639;2;[1013965167,1651976773];;close;ASF
PEAGE D ARLES;Péage d'Arles;Péage d'Arles;43.690342;4.5446514;2;[423746542,1652042833];;close;ASF
GALLARGUES;Gallargues;26;43.7229495;4.1810614;2;[103579675,103585422];;close;ASF
LUNEL;Lunel;27;43.7027498;4.1197187;2;[102968315,102968801];;close;ASF
PEAGE DE BAILLARGUES;Péage de Baillargues;Péage de Baillargues;43.6708729;4.0126478;2;[5555732,5555734];;close;ASF
VIENNE SUD;Vienne sud;;45.4746418;4.8343996;2;[12288199204,12752375307];;open;ASF
SETE;Sète;33;43.4775255;3.6851276;2;[100086450,100087287];;close;ASF
AGDE PEZENAS;Agde-Pézenas;34;43.3740078;3.417892;2;[179459179,335854857];;close;ASF
PEAGE DE BEZIERS CABRIALS;Péage de Béziers-Cabrials;Péage de Béziers-Cabrials;43.3438596;3.2875375;2;[1588137485,1588137486];;close;ASF
BEZIERS OUEST;Béziers Ouest;36;43.304563;3.2190641;2;[1676618836,1676618837];;close;ASF
NARBONNE EST;Narbonne Est;37;43.1790939;3.0348258;2;[1669974371,1669974392];;close;ASF
NARBONNE SUD;Narbonne Sud;38;43.1645016;2.9901729;2;[778662845,778662954];;close;ASF
SIGEAN;Sigean;39;43.0331894;2.9561957;2;[360047943,360047970];;close;ASF
LEUCATE;Leucate;40;42.9389777;2.9730298;8;[306479406,1997249454,3536200857,3536200860,3536200866,3536200869,3536200872,3536200879];;close;ASF
PERPIGNAN NORD;Perpignan Nord;41;42.7817287;2.8973351;2;[2398039583,2398039585];;close;ASF
PERPIGNAN SUD;Perpignan Sud;42;42.6667471;2.8590489;2;[35926132,35926646];;close;ASF
PEAGE DU PERTHUS;Péage du Perthus;Péage du Perthus;42.5277363;2.821473;2;[36967326,36967365];;close;ASF
LEZIGNAN;Lezignan;25;43.17189;2.7411404;2;[338974999,6343457269];;close;ASF
CARCASSONNE EST;Carcassonne Est;24;43.2020227;2.418166;2;[14790565,409788423];;close;ASF
CARCASSONNE OUEST;Carcassonne Ouest;23;43.1998981;2.3100831;2;[10471875,885163176];;close;ASF
BRAM;Bram;22;43.238934;2.0999074;2;[2144776681,2442483773];;close;ASF
CASTELNAUDARY;Castelnaudary;21;43.2907822;1.946745;2;[11003786,417133980];;close;ASF
VILLEFRANCHE DE LAURAGAIS;Villefranche-de-Lauragais;20;43.3985865;1.6962059;1;[1551709832];;close;ASF
NAILLOUX;Nailloux;1;43.3824192;1.6168325;2;[247949075,247949087];;close;ASF
MAZERES SAVERDUN;Mazères-Saverdun;2;43.2344401;1.6360077;2;[991655074,991655139];;close;ASF
