name_from;name_to;distance;price1;price2;price3;price4;price5
ABBEVILLE EST N°22;ABBEVILLE NORD N°23;;2.70;4.00;6.10;8.20;1.50
ABBEVILLE EST N°22;AMIENS NORD N°20;;4.50;6.90;10.10;14.40;2.50
ABBEVILLE EST N°22;AMIENS OUEST N°19;;4.80;7.10;10.70;14.50;2.80
ABBEVILLE EST N°22;AMIENS SUD (péage de Dury);;6.00;9.20;13.20;18.30;3.80
ABBEVILLE EST N°22;AUMALE N°12;;7.30;10.40;19.10;26.20;4.40
ABBEVILLE EST N°22;BEAUVAIS CENTRE N°14;;10.70;15.70;22.10;30.40;6.60
ABBEVILLE EST N°22;BEAUVAIS NORD N°15;;10.50;14.70;22.10;30.30;6.30
ABBEVILLE EST N°22;BERCK N°25;;6.50;9.40;13.30;18.50;4.00
ABBEVILLE EST N°22;BOULOGNE EST (péage d'Herquelingue);;10.30;15.20;22.50;30.90;6.30
ABBEVILLE EST N°22;ESSERTAUX N°17;;6.40;9.90;14.20;19.10;3.90
ABBEVILLE EST N°22;ETAPLES / LE TOUQUET N°26;;7.20;11.20;15.00;22.20;4.20
ABBEVILLE EST N°22;HARDIVILLERS N°16;;7.90;11.60;16.90;22.40;4.70
ABBEVILLE EST N°22;L'ISLE-ADAM (péage d'Amblainville);;15.90;23.30;34.70;48.30;9.90
ABBEVILLE EST N°22;LA CÔTE PICARDE N°24;;4.90;7.30;11.20;15.60;2.90
ABBEVILLE EST N°22;MÉRU N°13;;12.00;17.90;25.70;35.40;7.70
ABBEVILLE EST N°22;NEUFCHÂTEL-EN-BRAY (A28) (péage d'Haudricourt);;8.90;13.80;21.60;29.50;5.80
ABBEVILLE EST N°22;NEUFCHÂTEL-HARDELOT N°27;;8.50;12.80;17.10;25.40;5.00
ABBEVILLE EST N°22;POIX-DE-PICARDIE N°13;;6.00;8.90;14.00;20.60;3.60
ABBEVILLE EST N°22;SALOUËL N°18;;5.10;7.70;10.80;15.20;2.90
ABBEVILLE EST N°22;VALLÉE DE LA NIÈVRE N°21;;2.30;3.90;5.90;8.40;1.40
ABBEVILLE NORD N°23;ABBEVILLE EST N°22;;2.70;4.00;6.10;8.20;1.50
ABBEVILLE NORD N°23;AMIENS NORD N°20;;6.50;9.60;13.80;19.30;4.10
ABBEVILLE NORD N°23;AMIENS OUEST N°19;;6.50;9.90;13.80;19.30;4.10
