name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
ABBEVILLE EST N°22;ABBEVILLE EST;1;50.0998021;1.8695406;;[300407818, 304672214];;close;Sanef
ABBEVILLE NORD N°23;ABBEVILLE NORD;2;50.1352972;1.8109083;;[304663622, 304664253];;close;Sanef
AIRE-SUR-LA-LYS N°4;AIRE SUR LA LYS;3;50.6682431;2.2561597;;[242826082, 8951761695];;close;Sanef
ALBERT N°13.1;ALBERT;4;49.9656825;2.8632864;;[264993278, 1200494231];;close;Sanef
AMIENS EST (péage de Jules Verne);PEAGE DE JULES VERNE;5;49.8590510;2.3968010;;[262861318, 3836267226];;close;Sanef
AMIENS NORD N°20;AMIENS NORD;6;49.9338209;2.2436660;;[304673263, 427819482];;close;Sanef
AMIENS OUEST N°19;AMIENS OUEST;7;49.8918216;2.2383655;;[54774589, 9063255096];;close;Sanef
AMIENS SUD (péage de Dury);PEAGE DE DURY;8;49.8536130;2.2493820;;[32425386, 241054650];;close;Sanef
ARRAS EST (A1) N°15;ARRAS EST;9;50.2693557;2.8639145;;[32213712, 1269194826];;close;Sanef
ARRAS NORD (A26) N°7;ARRAS NORD;10;50.3451135;2.7875823;;[1371770814, 1409048067];;close;Sanef
ATHIES N°54;ATHIES;11;49.8385150;2.9907942;;[1684777150, 1684777167];;close;Sanef
AUMALE N°12;AUMALE;12;49.7583523;1.6994479;;[270355986, 289611179, 1433638219, 3372819625];;close;Sanef
BAPAUME N°14;BAPAUME;13;50.1041936;2.8678414;;[270370119, 3376518340];;close;Sanef
BEAUVAIS CENTRE N°14;BEAUVAIS CENTRE;14;49.4014624;2.1226613;;[1824875347, 4365381373, 5522482829];;close;Sanef
BEAUVAIS NORD N°15;BEAUVAIS NORD;15;49.4336723;2.1261477;;[1121574488, 1121574741];;close;Sanef
BERCK N°25;BERCK N°25;16;;;;;;close;Sanef
BÉTHUNE N°6;BETHUNE;17;50.5140434;2.6176956;;[481373537, 481373539];;close;Sanef
BOULAY N°36;BOULAY N°36;18;;;;;;close;Sanef
BOULOGNE EST (péage d'Herquelingue);PEAGE D HERQUELINGUE;19;50.6887671;1.6418879;;[302112697, 9131185464];;close;Sanef
CALAIS (péage de Setques);PEAGE DE SETQUES;20;50.7191499;2.1726250;;[23059466, 23059471];;close;Sanef
CAMBRAI N°14;CAMBRAI MARQUION;21;50.2025031;3.1069730;;[1371703167, 1371703269];;close;Sanef
CHÂLONS-EN-CHAMPAGNE / LA VEUVE N°24;CHALONS EN CHAMPAGNE LA VEUVE;22;49.0428396;4.3217468;;[30813498, 1871925918, 3149727734, 3149752422];;close;Sanef
CHARMONT-SOUS-BARBUISE N°22;CHARMONT SOUS BARBUISE;23;48.4103294;4.1438377;;[673351722, 3050827007];;close;Sanef
