name_from;name_to;distance;price1;price2;price3;price4;price5
BEAUTOT;BOLBEC N°7;;4.30;6.30;8.80;11.80;2.40
BEAUTOT;FECAMP N°8;;2.90;3.90;5.60;8.30;1.70
BEAUTOT;LE HAVRE N°5;;6.70;9.60;13.50;20.10;4.00
BEAUTOT;ST-ROMAIN-DE-COLBOSC N°6;;4.90;7.60;9.70;14.10;2.90
BEAUTOT;YVETOT;;1.40;2.20;3.10;4.40;1.00
BEUZEVILLE N°28;BOURG-ACHARD N°25;;4.10;6.50;9.20;13.20;2.40
BEUZEVILLE N°28;BOURNEVILLE N°26;;4.10;6.50;9.20;13.20;2.40
BEUZEVILLE N°28;CAEN;;6.10;8.60;12.10;19.00;3.80
BEUZEVILLE N°28;CAGNY (A813);;6.10;8.60;12.10;19.00;3.80
BEUZEVILLE N°28;CHAUFOUR N°15 à GAILLON N°17;;8.60;13.60;18.90;28.00;5.20
BEUZEVILLE N°28;CRIQUEBEUF N°20 à MAISON-BRÛLEE N°24 / ROUEN LES ESSARTS (A139);;4.10;6.50;9.20;13.20;2.40
BEUZEVILLE N°28;DOZULÉ N°30;;4.10;6.00;7.80;12.20;2.40
BEUZEVILLE N°28;HEUDEBOUVILLE N°18;;6.60;10.40;14.70;21.10;4.00
BEUZEVILLE N°28;INCARVILLE N°19;;6.50;10.40;14.20;20.60;3.90
BEUZEVILLE N°28;LA HAIE-TONDUE N°29;;1.90;2.50;3.30;5.30;0.90
BEUZEVILLE N°28;LA RIVIÈRE-SAINT-SAUVEUR N°3 (A29);;1.90;2.50;3.30;5.30;0.90
BEUZEVILLE N°28;PLATEAU N°2 (A29);;1.90;2.50;3.30;5.30;0.90
BEUZEVILLE N°28;POISSY / ORGEVAL N°7 à MANTES-SUD N°12;;11.60;18.50;25.50;38.70;7.00
BEUZEVILLE N°28;PONT L'EVÊQUE, DEAUVILLE (A132);;1.90;2.50;3.30;5.30;0.90
BEUZEVILLE N°28;TROARN N°31;;6.10;8.60;12.10;19.00;3.80
BOLBEC N°7;BEAUTOT;;4.30;6.30;8.80;11.80;2.40
BOLBEC N°7;FECAMP N°8;;1.60;2.70;2.80;4.70;1.10
BOLBEC N°7;LE HAVRE N°5;;2.50;3.10;4.40;6.10;1.50
BOLBEC N°7;ST-ROMAIN-DE-COLBOSC N°6;;1.00;1.70;2.10;2.70;0.70
BOLBEC N°7;ST-SAËNS N°10;;5.90;8.80;11.50;17.00;3.70
BOLBEC N°7;YERVILLE N°9;;3.10;4.50;6.10;8.30;1.60
BOLBEC N°7;YVETOT;;3.50;4.60;6.10;8.30;1.60
BOURG-ACHARD N°25;BEUZEVILLE N°28;;4.10;6.50;9.20;13.20;2.40
BOURG-ACHARD N°25;CAEN;;10.50;15.40;21.70;32.60;6.20
BOURG-ACHARD N°25;CAGNY (A813);;10.50;15.40;21.70;32.60;6.20
BOURG-ACHARD N°25;CHAUFOUR N°15 à GAILLON N°17;;4.50;7.10;9.70;14.80;2.80
BOURG-ACHARD N°25;CHENARD N°1 (A29);;4.60;6.80;9.60;13.80;2.50
BOURG-ACHARD N°25;DOZULÉ N°30;;8.50;12.80;17.40;25.80;4.80
BOURG-ACHARD N°25;HEUDEBOUVILLE N°18;;2.50;3.90;5.50;7.90;1.60
BOURG-ACHARD N°25;INCARVILLE N°19;;2.40;3.90;5.00;7.40;1.50
BOURG-ACHARD N°25;LA HAIE-TONDUE N°29;;6.30;9.30;12.90;18.90;3.30
BOURG-ACHARD N°25;LA RIVIÈRE-SAINT-SAUVEUR N°3 (A29);;6.30;9.30;12.90;18.90;3.30
BOURG-ACHARD N°25;PLATEAU N°2 (A29);;6.30;9.30;12.90;18.90;3.30
BOURG-ACHARD N°25;POISSY / ORGEVAL N°7 à MANTES-SUD N°12;;7.50;12.00;16.30;25.50;4.60
BOURG-ACHARD N°25;PONT L'EVÊQUE, DEAUVILLE (A132);;6.30;9.30;12.90;18.90;3.30
BOURG-ACHARD N°25;TANCARVILLE (A131);;3.30;5.30;7.90;10.70;2.10
BOURG-ACHARD N°25;TOUTAINVILLE N°27;;3.40;5.50;8.00;10.70;2.30
BOURG-ACHARD N°25;TROARN N°31;;10.50;15.40;21.70;32.60;6.20
BOURNEVILLE N°26;BEUZEVILLE N°28;;4.10;6.50;9.20;13.20;2.40
BOURNEVILLE N°26;CAEN;;10.50;15.40;21.70;32.60;6.20
BOURNEVILLE N°26;CAGNY (A813);;10.50;15.40;21.70;32.60;6.20
BOURNEVILLE N°26;CHAUFOUR N°15 à GAILLON N°17;;6.50;9.70;13.00;19.50;4.10
BOURNEVILLE N°26;CHENARD N°1 (A29);;4.60;6.80;9.60;13.80;2.50
BOURNEVILLE N°26;CRIQUEBEUF N°20 à MAISON-BRÛLEE N°24 / ROUEN LES ESSARTS (A139);;2.00;2.60;3.30;4.70;1.30
BOURNEVILLE N°26;DOZULÉ N°30;;8.50;12.80;17.40;25.80;4.80
BOURNEVILLE N°26;HEUDEBOUVILLE N°18;;4.50;6.50;8.80;12.60;2.90
BOURNEVILLE N°26;INCARVILLE N°19;;4.40;6.50;8.30;12.10;2.80
BOURNEVILLE N°26;LA HAIE-TONDUE N°29;;6.30;9.30;12.90;18.90;3.30
BOURNEVILLE N°26;LA RIVIÈRE-SAINT-SAUVEUR N°3 (A29);;6.30;9.30;12.90;18.90;3.30
BOURNEVILLE N°26;PLATEAU N°2 (A29);;6.30;9.30;12.90;18.90;3.30
BOURNEVILLE N°26;POISSY / ORGEVAL N°7 à MANTES-SUD N°12;;9.50;14.60;19.60;30.20;5.90
BOURNEVILLE N°26;PONT L'EVÊQUE, DEAUVILLE (A132);;6.30;9.30;12.90;18.90;3.30
BOURNEVILLE N°26;TOUTAINVILLE N°27;;3.40;5.50;8.00;10.70;2.30
BOURNEVILLE N°26;TROARN N°31;;10.50;15.40;21.70;32.60;6.20
CAEN;BEUZEVILLE N°28;;6.10;8.60;12.10;19.00;3.80
CAEN;BOURG-ACHARD N°25;;10.50;15.40;21.70;32.60;6.20
CAEN;BOURNEVILLE N°26;;10.50;15.40;21.70;32.60;6.20
CAEN;CAGNY (A813);;0.90;1.20;1.70;2.40;0.50
CAEN;CHAUFOUR N°15 à GAILLON N°17;;15.00;22.50;31.40;47.40;9.00
CAEN;CHENARD N°1 (A29);;5.70;8.40;12.30;18.30;3.90
