name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
BEAUTOT;BEAUTOT;1;49.6353577;1.0506526;;[603286199, 705472696];;close;SAPN
BEUZEVILLE N°28;BEUZEVILLE N°28;2;;;;;;close;SAPN
BOLBEC N°7;BOLBEC;3;49.5814117;0.4430307;;[984859296, 984859299];;close;SAPN
BOURG-ACHARD N°25;BOURG-ACHARD N°25;4;;;;;;close;SAPN
BOURNEVILLE N°26;BOURNEVILLE N°26;5;;;;;;close;SAPN
CAEN;CAEN;6;;;;;;close;SAPN
CAGNY (A813);CAGNY (A813);7;;;;;;close;SAPN
CHAUFOUR N°15 à GAILLON N°17;CHAUFOUR N°15 à GAILLON N°17;8;;;;;;close;SAPN
CHENARD N°1 (A29);CHENARD N°1 (A29);9;;;;;;close;SAPN
CRIQUEBEUF N°20 à MAISON-BRÛLEE N°24 / ROUEN LES ESSARTS (A139);LES ESSARTS;10;46.7903968;-1.1946328;;[279128148, 824250288, 4003306365, 4003306366, 4003306367, 4422608089];;close;SAPN
DOZULÉ N°30;DOZULÉ N°30;11;;;;;;close;SAPN
FECAMP N°8;FECAMP;12;49.6324469;0.6400228;;[248706668, 938388636];;close;SAPN
HEUDEBOUVILLE N°18;HEUDEBOUVILLE N°18;13;;;;;;close;SAPN
INCARVILLE N°19;INCARVILLE N°19;14;;;;;;close;SAPN
LA HAIE-TONDUE N°29;LA HAIE-TONDUE N°29;15;;;;;;close;SAPN
LA RIVIÈRE-SAINT-SAUVEUR N°3 (A29);LA RIVIÈRE-SAINT-SAUVEUR N°3 (A29);16;;;;;;close;SAPN
LE HAVRE N°5;LE HAVRE N°5;17;;;;;;close;SAPN
PEAGE DE CHAMBOURCY;PEAGE DE CHAMBOURCY;18;;;;;;open;SAPN
PEAGE DE MONTESSON;PEAGE DE MONTESSON;19;;;;;;open;SAPN
PLATEAU N°2 (A29);PLATEAU;20;49.3919027;0.2508982;;[1430086827, 1430086859];;close;SAPN
POISSY / ORGEVAL N°7 à MANTES-SUD N°12;POISSY / ORGEVAL N°7 à MANTES-SUD N°12;21;;;;;;close;SAPN
PONT L'EVÊQUE, DEAUVILLE (A132);PONT L'EVÊQUE, DEAUVILLE (A132);22;;;;;;close;SAPN
ST-ROMAIN-DE-COLBOSC N°6;ST-ROMAIN-DE-COLBOSC N°6;23;;;;;;close;SAPN
ST-SAËNS N°10;ST-SAËNS N°10;24;;;;;;close;SAPN
TANCARVILLE (A131);GARE DE PEAGE DU PONT DE TANCARVILLE;25;49.4636322;0.4739779;;[4721310697, 4721310722];;close;SAPN
TOUTAINVILLE N°27;TOUTAINVILLE N°27;26;;;;;;close;SAPN
TROARN N°31;TROARN N°31;27;;;;;;close;SAPN
YERVILLE N°9;YERVILLE;28;49.6477221;0.8427548;;[938406584, 938406621];;close;SAPN
YVETOT;YVETOT;29;49.6273870;0.8062109;;[1604117575, 1604117578];;close;SAPN
