name_from;name_to;by_way;distance;class_1;class_2;class_3;class_4;class_5
AIGUEBELETTE;AIX NORD;;24;3.5;5.4;7.5;10.1;1.6
AIGUEBELETTE;AIX SUD;;17;2.9;4.4;6.2;8.3;1.2
AIGUEBELETTE;ALLONZIER;;62;8.4;12.4;17.8;23.6;4.3
AIGUEBELETTE;ANNECY CENTRE;;50;6.9;10.4;15;20;3.5
AIGUEBELETTE;ANNECY NORD;;55;7.2;11.1;15.8;21.7;3.5
AIGUEBELETTE;BOURGOIN;;41;5.3;7.8;11.2;14.6;2.5
AIGUEBELETTE;CHAMBERY NORD;;10;1.6;2.6;3.8;5.1;0.8
AIGUEBELETTE;CHATUZANGE BARRIERE;;143;17.2;26.7;38;50.2;9
AIGUEBELETTE;ISLE D'ABEAU CENTRE;;47;6.1;9.4;13.7;17.7;2.8
AIGUEBELETTE;LA BAUME D'HOSTUN;;127;14.4;22.3;32.5;43.3;7.1
AIGUEBELETTE;LA TOUR DU PIN;;32;4;6.4;8.9;11.7;1.9
AIGUEBELETTE;LES ABRETS;;17;2.1;3.6;4.9;6.3;1
AIGUEBELETTE;MOIRANS NORD;;77;9;13.2;19.2;25.4;4.2
AIGUEBELETTE;RIVES;;62;7.2;10.9;15.3;20.2;3.4
AIGUEBELETTE;RUMILLY;;37;5.5;7.9;11.5;15.1;2.3
AIGUEBELETTE;SAINT GENIX SUR GUIERS;;13;1.6;2.5;4.2;5.9;0.8
AIGUEBELETTE;SAINT MARCELLIN;;114;12.7;19.9;28.7;37.8;6.3
AIGUEBELETTE;SEYNOD SUD;;44;6.1;9.5;13.3;17.6;2.9
AIGUEBELETTE;ST MARTIN BELLEVUE A41 N;;81;16.6;27.7;40.5;51.7;8.8
AIGUEBELETTE;ST MARTIN BELLEVUE A410;;87;11.6;17.6;24.9;34;5.8
AIGUEBELETTE;ST QUENTIN FAL. BARRIERE;;78;10.9;16.1;22.9;30.6;5.4
AIGUEBELETTE;ST QUENTIN FAL. BRETELLE;;57;7.3;11.3;16.5;21.7;3.6
AIGUEBELETTE;TULLINS;;90;10.3;15.4;22.1;29.6;5
AIGUEBELETTE;VILLEFONTAINE;;53;6.8;10.4;15.1;19.4;3.3
AIGUEBELETTE;VINAY;;104;11.7;17.8;25.9;34.2;5.7
AIGUEBELETTE;VOIRON;;73;8.5;12.4;18;23.6;4
AIGUEBELETTE;VOREPPE BARRIERE;;97;10.6;16.4;23;31.3;5.4
AIX NORD;AIGUEBELETTE;;24;3.5;5.4;7.5;10.1;1.6
AIX NORD;AIX SUD;;7;0.9;1.4;1.9;2.9;0.4
AIX NORD;ALLONZIER;1425013782,1425013781,769264531,4812431,26389564,26389563,769264534,300061996,22605610,1365024738,25891067,769264543,769264538,769264537,769264544,1441743965,850833608,850833609,850833610,55440964,55440957,769264548,26574266,365201628,769264545,86264444,86264432,86264403,86264439,25891081,1365024740,413493670,25891076,768096633,768096630,768096629,409110861,667688613,30790727,30790728,768096636,464231147,768096635,300061994,97371052,97371089,97371071,97371068,35921962,895193127,468901357,26573794,766204619,35921963,97243712,97243710,137686132,370947764,766204641,370947762,4276305,609795841,8463621,788223227;38;4.5;6.7;9.3;12.9;2.1
AIX NORD;ANNECY CENTRE;1425013782,1425013781,769264531,4812431,26389564,26389563,769264534,300061996,22605610,1365024738,25891067,769264543,769264538,769264537,769264544,1441743965,850833608,850833609,850833610,55440964,55440957,769264548,26574266,365201628,769264545,86264444,86264432,86264403,86264439,25891081,1365024740,413493670,25891076,768096633,768096630,768096629,409110861,667688613,30790727,30790728,768096636,22634806,893974158,691101935,849287423;26;3.3;5;7.2;9.5;1.5
AIX NORD;ANNECY NORD;1425013782,1425013781,769264531,4812431,26389564,26389563,769264534,300061996,22605610,1365024738,25891067,769264543,769264538,769264537,769264544,1441743965,850833608,850833609,850833610,55440964,55440957,769264548,26574266,365201628,769264545,86264444,86264432,86264403,86264439,25891081,1365024740,413493670,25891076,768096633,768096630,768096629,409110861,667688613,30790727,30790728,768096636,464231147,768096635,300061994,97371052,97371089,97371071,97371068,35921962,895193127,468901357,766204620,895193121,440033908,440033907,529198795,529198792;31;3.8;6;7.9;10.9;1.9
AIX NORD;BOURGOIN;1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,26395748,25673561,412119429,26200220,31953407,31953409,531802546,531802540,531802580,531802575,365953161,531802600,531802596,609795806,365953160,2954774,771372670,771372669,27178927,24570422,24570423,771372668,365953162,25566156,771372658,771372657,531802619,771372656,771372655,531802614,771372647,25566163,531802621,771372648,531802620,365953159,37662263,37662200,2954766,531802629,531802626,531802640,531802639,365943307,531802643,531802641,1210040550,342968435,531802650,531802649,771372646,531802654,531802653,771372642,409120891,531802657,110036456,771372629,771372628,771372625,771372624,110036466,771372621,238917044,771372620,243542938,850872595,850872596,243542933,59554128,69071727,558294848,771372613,69071734,69071724,558294857,771372608,69071725,771372606,4431978,222371615,771372604,3650185,771372603,243571279,1425223628,379901896,663975679,609707065,717384713,609707067,661560696,243571306,50318108,50318107,558294852;65;9.5;13.6;20;27.3;4.4
