name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
ST MARTIN BELLEVUE A41 N;;;;;;;;;
ST PIERRE BELLEVILLE;;;;;;;;;
STE MARIE DE CUINES;;;;;;;;;
HERMILLON;;;;;;;;;
ST MICHEL MAURIENNE ECH;;;;;;;;;
ST MICHEL MAURIENNE BAR;;;;;;;;;
ST QUENTIN FAL BARRIERE;;;;;;;;;
ST QUENTIN FAL BRETELLE;;;;;;;;;
ISLE D ABEAU CENTRE;L'Isle-d'Abeau Centre;3003;45.605103;5.2344726;2;[19224143, 267571099];;;
BOURGOIN;Bourgoin;3004;45.5822626;5.3002391;2;[36713429, 261946952];;;
LA TOUR DU PIN;La Tour-du-Pin;3005;45.5618738;5.4288421;2;[13871528, 13871529];;;
LES ABRETS;Les Abrets;3006;45.5713824;5.6041018;2;[142940, 623483095];;;
AIGUEBELETTE;Aiguebelette;3007;45.576882;5.7992485;2;[36675385, 267138475];;;
CHAMBERY NORD;Chambéry Nord;3008;45.6024284;5.8867608;23;[12608140, 12608143, 2408917631, 2408917632, 2408917633, 2408917634, 2408917635, 2408917636, 2408917637, 2408917638, 2408917639, 2408917640, 2408917641, 2408917642, 2408917643, 2408917644, 2408917645, 2408917646, 2408917647, 2408917648, 2408917649, 2408917650, 2408917651];;;
AIX SUD;Aix Sud;3009;45.653626;5.9216532;5;[6367206763, 6367206764, 6367206765, 6367206766, 6367206767];;;
AIX NORD;Aix Nord;3010;45.7161491;5.922156;6;[30904133, 4423736545, 7190727963, 7190727964, 7190727965, 7190727966];;;
RUMILLY;Rumilly;3011;45.8158454;6.006903;2;[5897323503, 5897323504];;;
ANNECY CENTRE;Annecy Centre;3012;45.8979211;6.0925664;9;[6484553454, 6484553462, 7923639031, 7923639037, 7923639073, 7923639074, 7923639075, 7923639076, 7923639077];;;
ANNECY NORD;Annecy Nord;3013;45.9388473;6.1169789;10;[4384995460, 4384995461, 4384995462, 4560499238, 5141229545, 5141229547, 5141229549, 5141229701, 7923473432, 7923473433];;;
ALLONZIER;Allonzier;3014;45.9897608;6.1277756;2;[26085850, 291392948];;;
ST MARTIN BELLEVUE A410;;;;;;;;;
CRUSEILLES A;Cruseilles;15017;45.9933537;6.1281095;2;[4423745204, 4423745205];;;
SEYNOD SUD;Seynod Sud;3020;45.8459699;6.0578384;2;[773491363, 773491371];;;
CROLLES BARRIERE;Crolles Barrière;3021;45.2717703;5.9007427;2;[12536314, 12536316];;;
CROLLES BRIGNOUD;Crolles-Brignoud;3022;45.271791;5.90069;2;[27297173, 27297216];;;
LE TOUVET;Le Touvet;3023;45.3474721;5.9636052;2;[35340135, 298941861];;;
PONTCHARRA;Pontcharra;3024;45.4258536;5.9951768;2;[289258237, 289258239];;;
CHIGNIN LES MARCHES;Chignin Les Marches;3025;45.5090272;6.0062545;2;[60314536, 429600582];;;
CHIGNIN BARRIERE;Chignin Barrière;3026;45.5126775;6.0022092;3;[12610219, 12610220, 4460945394];;;
CHIGNIN BRETELLE;Chignin Bretelle;3027;45.5112648;6.0045729;2;[60314514, 4423761565];;;
MONTMELIAN;Montmélian;3031;45.4949937;6.0575949;2;[27086904, 411797121];;;
SAINT PIERRE D ALBIGNY;Saint-Pierre-d'Albigny;3032Saint-Pierre-d'Albigny;45.5488777;6.1599137;2;[279140830, 412092432];;;
AITON;Aiton;3033;45.5559554;6.2481429;2;[25631385, 27087837];;;
STE HELENE BARRIERE;;;;;;;;;
LE CROZET;Le Crozet;3041;45.0454854;5.6787994;2;[565902, 26660567];;;
SAINT GENIX SUR GUIERS;Saint-Genix-sur-Guiers;3061;45.5727704;5.6591386;1;[257784733];;;
VILLEFONTAINE;Villefontaine;3062;45.6284645;5.1644734;2;[2993275543, 2993283810];;;
SAINT EXUPERY;Saint Exupéry;3070;45.6727252;5.0514167;2;[143224, 18168123];;;
CHESNES;Chesnes;3071;45.6556504;5.0979386;2;[260490708, 260490725];;;
LA TOUR DU PIN EST;La Tour-du-Pin Est;3072;45.5571846;5.4628749;2;[2166249271, 2166249288];;;
MOIRANS NORD;Moirans Nord;3083;45.3234894;5.6028346;2;[2407621699, 3177528677];;;
MOIRANS;Moirans;3084;45.3200799;5.607543;2;[137090, 258027361];;;
RIVES;Rives;3085;45.3840979;5.4730239;2;[13871640, 14638934];;;
VOIRON;Voiron;3086;45.347549;5.5664029;2;[27174404, 27174434];;;
VOREPPE BARRIERE;Voreppe Barrière;3087;45.2831859;5.6216873;2;[126236, 136834];;;
CHATUZANGE BARRIERE;Chatuzange Barrière;3091;45.0259152;5.0969532;2;[809154, 810324];;;
LA BAUME D HOSTUN;La Baume d'Hostun;3092;45.064633;5.2080027;2;[15861717, 29789322];;;
SAINT MARCELLIN;Saint-Marcellin;3093;45.1382768;5.3261599;4;[13871876, 21561471, 9247767305, 9247767306];;;
VINAY;Vinay;3094;45.1994862;5.419409;2;[21032382, 25452344];;;
TULLINS;Tullins;3095;45.2870178;5.5218684;2;[137232, 36715162];;;
SYSTEME OUVERT;;;;;;;;;
3400 SYSTEME OUVERT;;;;;;;;;
