osm_name,operator_ref,lat,lon,nbs_booth,booth_node_id
Auxerre Nord,19,47.8516154,3.5486952,2,"[126217, 255936638]"
Voreppe Barrière,3087,45.2831859,5.6216873,2,"[126236, 136834]"
Péage de Vienne,Péage de Vienne,45.4761176,4.8330663,4,"[130368, 13397120, 12288199204, 12752375307]"
Moirans,3084,45.3200799,5.6075430,2,"[137090, 258027361]"
Tullins,3095,45.2870178,5.5218684,2,"[137232, 36715162]"
Phalsbourg,43,48.7721050,7.2405277,2,"[142268, 30841803]"
Ambérieu-en-Buguey,8,45.9776792,5.3125990,2,"[142831, 36534628]"
Les Abrets,3006,45.5713824,5.6041018,2,"[142940, 623483095]"
Saint Exupéry,3070,45.6727252,5.0514167,2,"[143224, 18168123]"
Saint-Quentin-Fal. Barrière,3001,45.6483669,5.1200573,2,"[143255, 143256]"
Beynost,Beynost,45.8206664,4.9939405,2,"[143584, 21670932]"
Péage de La Boisse,Péage de La Boisse,45.8277301,5.0326389,3,"[143602, 18169277, 1405960889]"
Senlis,8,49.2114247,2.6185551,4,"[144772, 32212303, 2120513424, 2120513425]"
Avignon Nord,23,43.9820509,4.8884123,2,"[154427, 1674101568]"
Avignon Sud,24,43.8929306,4.9158159,2,"[154642, 21617587]"
Antibes,44,43.6035791,7.0764544,7,"[274043, 25315120, 25689722, 25690550, 26024647, 26024947, 624029461]"
Péage Cluses Amont,19,46.0468143,6.5965495,2,"[494766, 26120065]"
Saint-Martin-Bellevue,,45.9897553,6.1277404,4,"[505680, 505681, 332477934, 332477935]"
Le Crozet,3041,45.0454854,5.6787994,2,"[565902, 26660567]"
UNKNOWN,,44.5933838,4.7167032,361,"[618833, 12165369, 25946139, 26517916, 29655890, 60937801, 60937811, 61730428, 137501371, 149534898, 243793625, 251397593, 257077649, 257077660, 271678308, 289743052, 295539220, 296901754, 307379332, 321269249, 338381613, 338381669, 346370003, 390961007, 434561998, 434562013, 438084278, 438084297, 460274603, 524691689, 545915071, 598948588, 602281214, 604986702, 659426619, 699628081, 771180846, 791949259, 791949343, 860108802, 959448851, 960150230, 1018521875, 1020314736, 1092266692, 1108372774, 1149383733, 1194640345, 1200571098, 1238723845, 1249619019, 1249619020, 1281886638, 1281886642, 1281886677, 1281886693, 1281886718, 1281886785, 1281886815, 1281886823, 1281886883, 1281886887, 1303743477, 1303744148, 1309963916, 1332599230, 1366342513, 1418724144, 1418724152, 1419318990, 1419318992, 1419319046, 1428908290, 1428934879, 1496631027, 1527367208, 1591529758, 1591529760, 1639024124, 1644986034, 1654390832, 1654430599, 1654430648, 1656496407, 1684033015, 1684033019, 1684033035, 1708831064, 1723771313, 1723771318, 1755079076, 1759695724, 1770022614, 1770022660, 1770022712, 1779012521, 1813964077, 1820191052, 1821092889, 1821097804, 1838605578, 1859487754, 1870060827, 1917381274, 1925340503, 1943181722, 2023925946, 2023925949, 2023925954, 2023925956, 2054692047, 2061501496, 2077633382, 2079715523, 2080063160, 2085509898, 2093963887, 2093963931, 2106396283, 2149125382, 2218646690, 2218646703, 2229571895, 2303763541, 2367470841, 2367470842, 2367470843, 2367470844, 2367470845, 2381250541, 2395197670, 2396153870, 2396470862, 2426751272, 2435368672, 2462844860, 2585053510, 2630950463, 2644535526, 2778250320, 2799117418, 2799117422, 2835769077, 2835769269, 2922627877, 2922627880, 2922627882, 2922629233, 2922629234, 2922629236, 2954222749, 3038463983, 3105568808, 3122647998, 3228114111, 3228114112, 3228114113, 3228114114, 3228114115, 3228114116, 3228114117, 3228114118, 3228114119, 3228114120, 3228114121, 3228114122, 3294555828, 3343894806, 3343922931, 3391513040, 3515287129, 3646349368, 3646349373, 3646349374, 3646349376, 3646349377, 3646349381, 3709133147, 4017011990, 4059506926, 4065970301, 4071905886, 4159823901, 4163758850, 4200516989, 4200516990, 4200516991, 4200516992, 4202270358, 4202270794, 4228016427, 4237137148, 4270273253, 4374872086, 4455279706, 4589610050, 4598457143, 4598460944, 4601302704, 4623998828, 4705551576, 4705551577, 4985000837, 4985000840, 4985000841, 4990076785, 4990076786, 4990076787, 4990076798, 4990076799, 4990076800, 4990076801, 4990076802, 5139109141, 5180082593, 5418709906, 5501715015, 5501715021, 5600399656, 5741237620, 5827497395, 5923857315, 6005228030, 6166059332, 6166059334, 6255495562, 6268700142, 6353152997, 6447410686, 6447410687, 6477585020, 6541106559, 6541106573, 6541106575, 6609096129, 7001276019, 7001276033, 7140787470, 7140787476, 7140787478, 7140787484, 7151214073, 7151214085, 7160402871, 7551873703, 7551873707, 7551873710, 7551873715, 7551873727, 7551873729, 7551873732, 7551873734, 7551873745, 7551873747, 7551873755, 7551873758, 7551873769, 7551873770, 7795369636, 7869024247, 7903274024, 8021721098, 8289119810, 8600312530, 8600312531, 8626711989, 8626711992, 8626711994, 8669015908, 8693527031, 8747388861, 8747388867, 8747388868, 8747388869, 8747388870, 8888343334, 9070540301, 9119805195, 9155793461, 9197871088, 9241239986, 9325006464, 9398558890, 9484428889, 9569483918, 9576078622, 9597189626, 9631535647, 9631535650, 9787444230, 9874280811, 9874280815, 9893188259, 9893188262, 9897438405, 9944293429, 9968532882, 10029321800, 10135846069, 10135846070, 10159648010, 10202403261, 10241846495, 10307571023, 10860431951, 10914076130, 11171616792, 11247006846, 11247006847, 11264488107, 11273906167, 11278616066, 11278616067, 11343377116, 11367218472, 11403978792, 11403978793, 11404182183, 11404183313, 11404183314, 11473312148, 11473312152, 11473312160, 11473312165, 11503846024, 11503846025, 11503846026, 11503846027, 11503846028, 11503846029, 11503846030, 11503846031, 11503846032, 11503846033, 11930845128, 11985598015, 12059005573, 12118516946, 12134121004, 12161076396, 12298881387, 12298881388, 12298881390, 12422948937, 12422948938, 12422948939, 12754267128, 12920815564, 12957804484, 13017363418, 13110997340, 13114756898, 13128982756, 13435370996, 13441887363, 13463722346, 13472172470, 13483550672, 13483550673, 13483552219, 13483552220]"
Sames,Sames,43.5297063,-1.1868429,2,"[630216, 2341285897]"
Loriol,16,44.7568490,4.7912697,2,"[650878, 26538223]"
Valence Sud,15,44.9049476,4.8801182,2,"[655887, 655992]"
Valence Nord,14,44.9701995,4.8875504,2,"[656078, 14961149]"
Montélimar Sud,18,44.4813385,4.7635161,2,"[656776, 14960992]"
Orange Centre,21,44.1353197,4.7956315,8,"[656795, 448451541, 8394070485, 8394070486, 8394070487, 8394070488, 8394070489, 8394070490]"
Chatuzange Barrière,3091,45.0259152,5.0969532,2,"[809154, 810324]"
Clermont Barrière,Clermont Barrière,45.8413126,3.1610281,2,"[2015469, 26188874]"
Péage des Martres-d'Artière,Péage des Martres-d'Artière,45.8279708,3.2411609,2,"[2087934, 28126222]"
Péage de Baillargues,Péage de Baillargues,43.6708729,4.0126478,2,"[5555732, 5555734]"
Péage de Toulouse Est,Péage-de-Toulouse Est,43.6473594,1.5077254,2,"[6563692, 345188803]"
Saint-Jean-de-Védas,Saint-Jean-de-Védas,43.5617904,3.8301934,2,"[8980695, 2399140585]"
Péage de Toulouse Sud Est,Péage de Toulouse Sud Est,43.5455566,1.5004396,2,"[9928578, 381250374]"
Péage de Toulouse Sud Ouest,Péage de Toulouse Sud Ouest,43.5453086,1.5000225,2,"[10467044, 2887199669]"
Barrière de péage de Saint-Avold,37,49.1360119,6.7016294,2,"[10468685, 10536211]"
Carcassonne Ouest,23,43.1998981,2.3100831,2,"[10471875, 885163176]"
Castelnaudary,21,43.2907822,1.9467450,2,"[11003786, 417133980]"
Aubagne,35,43.3242362,5.5982817,2,"[12155715, 12169103]"
Gare de Péage de la Barque,32,43.4831047,5.5398614,2,"[12162783, 259973397]"
Crolles Barrière,3021,45.2717703,5.9007427,2,"[12536314, 12536316]"
Chambéry Nord,3008,45.6024284,5.8867608,23,"[12608140, 12608143, 2408917631, 2408917632, 2408917633, 2408917634, 2408917635, 2408917636, 2408917637, 2408917638, 2408917639, 2408917640, 2408917641, 2408917642, 2408917643, 2408917644, 2408917645, 2408917646, 2408917647, 2408917648, 2408917649, 2408917650, 2408917651]"
Chignin Barrière,3026,45.5126775,6.0022092,3,"[12610219, 12610220, 4460945394]"
Mâcon Sud,29,46.2830087,4.7928327,2,"[13380042, 13380044]"
Tain,13,45.0684081,4.8684133,2,"[13382945, 15553152]"
Sainte-Hélène-Barrière,3034,45.6199212,6.3119232,2,"[13561190, 15809877]"
Péage de Saint-Maurice,Péage de Saint-Maurice,47.4253686,6.6711249,2,"[13835106, 36304281]"
Péage de Dijon-Crimolois,Péage de Dijon-Crimolois,47.2769114,5.1379222,2,"[13835994, 24922276]"
La Tour-du-Pin,3005,45.5618738,5.4288421,2,"[13871528, 13871529]"
Rives,3085,45.3840979,5.4730239,2,"[13871640, 14638934]"
Saint-Marcellin,3093,45.1382768,5.3261599,4,"[13871876, 21561471, 9247767305, 9247767306]"
Carcassonne Est,24,43.2020227,2.4181660,2,"[14790565, 409788423]"
Bollène,19,44.2902627,4.7509278,2,"[14798007, 14798008]"
Montélimar Nord,17,44.6689369,4.7949641,2,"[14798265, 14798276]"
La Baume d'Hostun,3092,45.0646330,5.2080027,2,"[15861717, 29789322]"
Chanas,12,45.3211595,4.8098547,2,"[16567653, 28128388]"
