name_from;name_to;by_way
AIGUEBELETTE;AIX NORD;[]
AIGUEBELETTE;AIX SUD;[]
AIGUEBELETTE;ALLONZIER;[]
AIGUEBELETTE;ANNECY CENTRE;[]
AIGUEBELETTE;ANNECY NORD;[]
AIGUEBELETTE;BOURGOIN;[]
AIGUEBELETTE;CHAMBERY NORD;[]
AIGUEBELETTE;CHATUZANGE BARRIERE;[]
AIGUEBELETTE;ISLE D'ABEAU CENTRE;[]
AIGUEBELETTE;LA BAUME D'HOSTUN;[]
AIGUEBELETTE;LA TOUR DU PIN;[]
AIGUEBELETTE;LES ABRETS;[]
AIGUEBELETTE;MOIRANS NORD;[]
AIGUEBELETTE;RIVES;[]
AIGUEBELETTE;RUMILLY;[]
AIGUEBELETTE;SAINT GENIX SUR GUIERS;[]
AIGUEBELETTE;SAINT MARCELLIN;[]
AIGUEBELETTE;SEYNOD SUD;[]
AIGUEBELETTE;ST MARTIN BELLEVUE A41 N;[]
AIGUEBELETTE;ST MARTIN BELLEVUE A410;[]
AIGUEBELETTE;ST QUENTIN FAL. BARRIERE;[]
AIGUEBELETTE;ST QUENTIN FAL. BRETELLE;[]
AIGUEBELETTE;TULLINS;[]
AIGUEBELETTE;VILLEFONTAINE;[]
AIGUEBELETTE;VINAY;[]
AIGUEBELETTE;VOIRON;[]
AIGUEBELETTE;VOREPPE BARRIERE;[]
AITON;CHIGNIN BARRIERE;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,429076313,19338570,19338571,769997128,155731819,33178140,1152638187,1152638186,1430800509,769997157,769997156,769997149,769997148,1431632079,33178144,769997171,769997169,736298747,769997168,87200107,87200143,1431632089,1165593342,31127932,39707064,39707056,39707122,39707120,409137404,178068548,178068547,4157529,1165593341,769997176,623201763,1354761578,1354761577,769997178,769997177,8066005,319946604,449126672,449126670]
AITON;CHIGNIN LES MARCHES;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,429076313,19338570,19338571,769997128,155731819,33178140,1152638187,1152638186,1430800509,769997157,769997156,769997149,769997148,1431632079,33178144,769997171,769997169,736298747,769997168,87200107,87200143,1431632089,1165593342,31127932,39707064,39707056,39707122,39707120,409137404,178068548,178068547,4157529,1165593341,769997176,623201763,1354761578,1354761577,769997178,769997179,569057042,26389548,8066007,8065969,1180770898]
AITON;CROLLES BARRIERE;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,429076313,19338570,19338571,769997128,155731819,33178140,1152638187,1152638186,1430800509,769997157,769997156,769997149,769997148,1431632079,33178144,769997171,769997169,736298747,769997168,87200107,87200143,1431632089,1165593342,31127932,39707064,39707056,39707122,39707120,53186263,178068564,493968773,178068576,39707200,39707186,31620963,28712442,28712440,31620975,769997174,416540081,771284518,1430466731,771284516,771284519,771284515,178068552,35017561,35017563,771284511,771284510,771284508,1430466555,27239503,1430466591,5122317,771858568,771858561,771858560,771858559,771858558,235466007,431091091,431091088,771858554,5122318,624493366]
AITON;CROLLES BRIGNOUD;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,429076313,19338570,19338571,769997128,155731819,33178140,1152638187,1152638186,1430800509,769997157,769997156,769997149,769997148,1431632079,33178144,769997171,769997169,736298747,769997168,87200107,87200143,1431632089,1165593342,31127932,39707064,39707056,39707122,39707120,53186263,178068564,493968773,178068576,39707200,39707186,31620963,28712442,28712440,31620975,769997174,416540081,771284518,1430466731,771284516,771284519,771284515,178068552,35017561,35017563,771284511,771284510,771284508,1430466555,27239503,1430466591,5122317,771858568,771858561,771858560,771858559,771858558,235466007,431091091,431091088,771858554,4445146]
AITON;HERMILLON;[]
AITON;LE TOUVET;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,429076313,19338570,19338571,769997128,155731819,33178140,1152638187,1152638186,1430800509,769997157,769997156,769997149,769997148,1431632079,33178144,769997171,769997169,736298747,769997168,87200107,87200143,1431632089,1165593342,31127932,39707064,39707056,39707122,39707120,53186263,178068564,493968773,178068576,39707200,39707186,31620963,28712442,28712440,31620975,769997174,416540081,771284518,1430466731,771284516,771284519,771284515,178068552,35017561,35017563,771284511,771284510,771284508,1430466555,27239503,1430466591,771858571,624215644,529543264,624215647]
AITON;MONTMELIAN;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,429076313,19338570,19338571,769997128,155731819,33178140,1152638187,1152638186,1430800509,769997157,769997156,769997149,769997148,1431632079,33178144,769997171,769997167,19338573,1042853489]
AITON;PONTCHARRA;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,429076313,19338570,19338571,769997128,155731819,33178140,1152638187,1152638186,1430800509,769997157,769997156,769997149,769997148,1431632079,33178144,769997171,769997169,736298747,769997168,87200107,87200143,1431632089,1165593342,31127932,39707064,39707056,39707122,39707120,53186263,178068564,493968773,178068576,39707200,39707186,31620963,28712442,28712440,31620975,769997174,416540081,771284518,1430466731,771284516,771284519,771284515,178068552,35017561,35017563,771284511,771284512,624218012,27181353]
AITON;ST MICHEL MAURIENNE BAR;[]
AITON;ST MICHEL MAURIENNE ECH;[]
AITON;ST PIERRE BELLEVILLE;[771284523,1324687261,771284524,35130681,35130714,35130713,771284527,48201716,73935710,73935714,1152638183,1152638182,408436027,19338564,408436026,19338566,408436025,19338560,736301149,769997122,769997121,769997120,736300698,769997119,769997118,208529309,1424792662]
AITON;STE HELENE BARRIERE;[771284523,1324687261,771284524,373350038,771284526,50509655,769997125,611966157,4421093,769997123,441541587,183988502,1431632090,183988505,493973695,493973692,373719729]
AITON;STE MARIE DE CUINES;[771284523,1324687261,771284524,35130681,35130714,35130713,771284527,48201716,73935710,73935714,1152638183,1152638182,408436027,19338564,408436026,19338566,408436025,19338560,736301149,769997122,769997112,769997111,93221505,245348442,245348444,617236655,48201979,48201981,48201982,48201978,771284541,408436028,771284539,4268548,35138927,35138923]
AIX NORD;AIGUEBELETTE;[]
AIX NORD;AIX SUD;[]
