osm_name,operator_ref,lat,lon,nbs_booth,booth_node_id
Péage de Vienne,Péage de Vienne,45.4761176,4.8330663,4,"[130368, 13397120, 12288199204, 12752375307]"
Avignon Nord,23,43.9820509,4.8884123,2,"[154427, 1674101568]"
Avignon Sud,24,43.8929306,4.9158159,2,"[154642, 21617587]"
Sames,Sames,43.5297063,-1.1868429,2,"[630216, 2341285897]"
Loriol,16,44.7568490,4.7912697,2,"[650878, 26538223]"
Valence Sud,15,44.9049476,4.8801182,2,"[655887, 655992]"
Valence Nord,14,44.9701995,4.8875504,2,"[656078, 14961149]"
Montélimar Sud,18,44.4813385,4.7635161,2,"[656776, 14960992]"
Orange Centre,21,44.1353197,4.7956315,8,"[656795, 448451541, 8394070485, 8394070486, 8394070487, 8394070488, 8394070489, 8394070490]"
Péage des Martres-d'Artière,Péage des Martres-d'Artière,45.8279706,3.2411652,2,"[2087934, 28126222]"
Péage de Baillargues,Péage de Baillargues,43.6708729,4.0126478,2,"[5555732, 5555734]"
Péage de Toulouse Est,Péage-de-Toulouse Est,43.6473594,1.5077254,2,"[6563692, 345188803]"
Saint-Jean-de-Védas,Saint-Jean-de-Védas,43.5617904,3.8301934,2,"[8980695, 2399140585]"
Péage de Toulouse Sud Est,Péage de Toulouse Sud Est,43.5455566,1.5004396,2,"[9928578, 381250374]"
Péage de Toulouse Sud Ouest,Péage de Toulouse Sud Ouest,43.5453086,1.5000225,2,"[10467044, 2887199669]"
Carcassonne Ouest,23,43.1998981,2.3100831,2,"[10471875, 885163176]"
Castelnaudary,21,43.2907822,1.9467450,2,"[11003786, 417133980]"
Tain,13,45.0684081,4.8684133,2,"[13382945, 15553152]"
Carcassonne Est,24,43.2020227,2.4181660,2,"[14790565, 409788423]"
Bollène,19,44.2902627,4.7509278,2,"[14798007, 14798008]"
Montélimar Nord,17,44.6689369,4.7949641,2,"[14798265, 14798276]"
Chanas,12,45.3211595,4.8098547,2,"[16567653, 28128388]"
Péage d'Arveyres,Péage d'Arveyres,44.8851487,-0.2686080,2,"[21465992, 249778842]"
Condrieu,10,45.5055132,4.8406636,2,"[21562312, 635290239]"
Péage du Bignon,Péage-du-Bignon,47.1147220,-1.4919985,2,"[25959136, 25959780]"
Cavaillon,25,43.8199281,5.0278555,2,"[26404247, 26404271]"
Péage de Lançon,Péage de Lançon,43.5937043,5.1747436,2,"[26410395, 26410440]"
